,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,L-thyroxine,a9f13,,1130.7513819634667,292.1150852242392,90.0,25.0,#0000ff,ChEBI,CHEBI:18332,POINT (1130.7513819634667 292.1150852242392)
1,CNMD,b2431,,1037.685454419059,462.8650852242361,60.0,25.0,#None,Uniprot-TrEMBL,O75829,POINT (1037.685454419059 462.8650852242361)
2,O2,ca022,,850.1666666666667,277.2777813314798,30.0,25.0,#0000ff,ChEBI,CHEBI:15379,POINT (850.1666666666667 277.2777813314798)
3,DIO2,ea42b,,1073.9521428507107,336.81566099443404,60.0,25.0,#None,Ensembl,ENSG00000211448,POINT (1073.9521428507107 336.81566099443404)
4,Vascularization,b7354,,721.4839016128983,568.1918158567787,116.3160842422389,25.0,#14961e,Unknown,Vascularization,POINT (721.4839016128983 568.1918158567787)
5,Endothelial cell proliferation,ad7f0,cb718,746.096063817859,697.9661995053584,180.0,25.0,#14961e,Unknown,Endothelial cell proliferation,POINT (746.096063817859 697.9661995053584)
6,RUNX2,a1da8,ddca4,1131.8875006115347,708.8354465791303,60.0,25.0,#None,Ensembl,ENSG00000124813,POINT (1131.8875006115347 708.8354465791303)
7,Triiodothyronine,d9cab,,1130.7513819634662,395.43763665600585,115.0,25.0,#0000ff,ChEBI,CHEBI:18258,POINT (1130.7513819634662 395.43763665600585)
8,Migration,b8e58,cb718,746.0960638178585,722.9661995053584,180.0,25.000000000000032,#14961e,Unknown,Migration,POINT (746.0960638178585 722.9661995053584)
9,CEBPB,bc3b2,,1130.7513819634667,523.1150852242363,60.0,25.0,#None,Uniprot-TrEMBL,P17676,POINT (1130.7513819634667 523.1150852242363)
10,Hypertrophy,f57f3,,872.5485023358063,827.7188788128606,90.0,25.0,#14961e,Unknown,Hypertrophy,POINT (872.5485023358063 827.7188788128606)
11,Tube formation,c0a84,cb718,746.0960638178585,747.9661995053584,180.0,25.000000000000032,#14961e,Unknown,Tube formation,POINT (746.0960638178585 747.9661995053584)
12,EPAS1,ec43d,,1130.7513819634667,462.8650852242361,60.0,26.5,#None,Ensembl,ENSG00000116016,POINT (1130.7513819634667 462.8650852242361)
13,COL10A1,fdfc2,ddca4,1131.8875006115347,733.8354465791303,60.0,25.0,#None,Ensembl,ENSG00000123500,POINT (1131.8875006115347 733.8354465791303)
14,MMP13,db756,ddca4,1131.8875006115347,758.8354465791302,60.0,25.0,#None,Ensembl,ENSG00000137745,POINT (1131.8875006115347 758.8354465791302)
15,CEBPB,a70b3,ddca4,1131.887500611535,683.8354465791303,60.0,25.0,#None,Uniprot-TrEMBL,P17676,POINT (1131.887500611535 683.8354465791303)
16,JUND,a0c66,c06c0,311.9648093688688,742.0259181709371,60.0,25.0,#None,Ensembl,ENSG00000130522,POINT (311.9648093688688 742.0259181709371)
17,COL3A1,cd948,ad33e,628.2483157040027,153.0222775846231,60.0,25.0,#None,Ensembl,ENSG00000168542,POINT (628.2483157040027 153.0222775846231)
18,JUNB,f3ff8,c06c0,311.9648093688688,717.0259181709371,60.0,25.0,#None,Ensembl,ENSG00000171223,POINT (311.9648093688688 717.0259181709371)
19,KDR,b8122,,312.54315772770246,225.9746447060777,60.0,25.0,#None,Ensembl,ENSG00000128052,POINT (312.54315772770246 225.9746447060777)
20,RELA,cf52d,fa753,459.89221518970476,623.3442090615397,60.0,25.0,#None,Ensembl,ENSG00000173039,POINT (459.89221518970476 623.3442090615397)
