S|P|O
aflatoxin B1|interacts with|CDH11
aflatoxin B1|interacts with|TIAM1
CDH11|subClassOf|protein_coding_gene
TRIO (human)|subClassOf|protein_coding_gene
TIAM1|participates_in|Signaling by NTRKs
TRIO (human)|participates_in|Signaling by NTRKs
JUN|causes or contributes to condition|hereditary diffuse gastric adenocarcinoma
TWIST1|causes or contributes to condition|hereditary diffuse gastric adenocarcinoma
EPHB2|subClassOf|protein_coding_gene
SORT1|subClassOf|protein_coding_gene
EPHB6|subClassOf|protein_coding_gene
EPHB3|subClassOf|protein_coding_gene
valproic acid|interacts with|BDNF (human)
valproic acid|interacts with|SORT1
EPHB1|participates_in|Developmental Biology
AKT2|participates_in|Developmental Biology
valproic acid|interacts with|EPHB1 (human)
valproic acid|interacts with|AKT1
FOS|participates_in|Toll Like Receptor 3 (TLR3) Cascade
JUN|participates_in|Toll Like Receptor 3 (TLR3) Cascade
FOS|subClassOf|protein_coding_gene
PIK3R5|participates_in|G-protein beta:gamma signalling
PIK3CG|participates_in|G-protein beta:gamma signalling
PIK3CD|participates_in|Signaling by GPCR
PIK3R6|participates_in|Signaling by GPCR
PIK3R3|participates_in|GAB1 signalosome
AKT3|participates_in|GAB1 signalosome
PIK3R3|participates_in|PI3K/AKT activation
AKT1|participates_in|PI3K/AKT activation
PIK3R3|participates_in|Signaling by GPCR
PIK3R5|participates_in|Signaling by GPCR
PIK3R3|participates_in|GPVI-mediated activation cascade
PIK3R6|participates_in|GPVI-mediated activation cascade
valproic acid|interacts with|PIK3R3
valproic acid|interacts with|PIK3CG
PIK3R5|participates_in|GPCR downstream signalling
AKT2|participates_in|GPCR downstream signalling
PIK3R5|participates_in|Platelet activation, signaling and aggregation
AKT3|participates_in|Platelet activation, signaling and aggregation
AKT1|participates_in|GPCR downstream signalling
PIK3R3|participates_in|Signal Transduction
AKT2|participates_in|Signal Transduction
PIK3R5|participates_in|GPVI-mediated activation cascade
AKT2|participates_in|Signaling by GPCR
PIK3R6|participates_in|GPCR downstream signalling
AKT3|participates_in|GPCR downstream signalling
PIK3R6|participates_in|G-protein beta:gamma signalling
AKT1|participates_in|G-protein beta:gamma signalling
PIK3R6|participates_in|Signal Transduction
PIK3CG|participates_in|Signal Transduction
PIK3CG|participates_in|Hemostasis
AKT2|participates_in|Hemostasis
PIK3CG|participates_in|G beta:gamma signalling through PI3Kgamma
