S|P|O|S_ID|P_ID|O_ID
valproic acid|interacts with|LFA-1|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/3683
valproic acid|interacts with|RHOA|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/387
valproic acid|is substance that treats|Status epilepticus|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0002133
CCR7 (human)|causes or contributes to condition|Status epilepticus|http://www.ncbi.nlm.nih.gov/gene/1236|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002133
valproic acid|is substance that treats|Schizophrenia|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0100753
LPL|causes or contributes to condition|Schizophrenia|http://www.ncbi.nlm.nih.gov/gene/4023|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0100753
valproic acid|interacts with|Kindlin-3|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/83706
LFA-1|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
KIF18B (human)|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/146909|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
aflatoxin B1|interacts with|KIF18B (human)|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/146909
aflatoxin B1|interacts with|RAB13|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/5872
AKT1|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/207|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
AKT1|causes or contributes to condition|Squamous cell carcinoma|http://www.ncbi.nlm.nih.gov/gene/207|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002860
SKAP|causes or contributes to condition|Squamous cell carcinoma|http://www.ncbi.nlm.nih.gov/gene/90417|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002860
LFA-1|has gene product|integrin alpha-L (human)|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P20701
integrin alpha-L (human)|molecularly interacts with|Ras association domain-containing protein 5 (human)|http://purl.obolibrary.org/obo/PR_P20701|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/PR_Q8WWW0
Ras association domain-containing protein 5 (human)|has_gene_template|RAP|http://purl.obolibrary.org/obo/PR_Q8WWW0|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/83593
LFA-1|participates_in|Adaptive Immune System|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280218
FYB1|participates_in|Adaptive Immune System|http://www.ncbi.nlm.nih.gov/gene/2533|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280218
diazinon|interacts with|RAP|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/83593
diazinon|molecularly interacts with|cell migration|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/GO_0016477
small kinetochore-associated protein (human)|participates_in|cell migration|http://purl.obolibrary.org/obo/PR_Q9Y448|http://purl.obolibrary.org/obo/RO_0000056|http://purl.obolibrary.org/obo/GO_0016477
small kinetochore-associated protein (human)|has_gene_template|SKAP|http://purl.obolibrary.org/obo/PR_Q9Y448|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/90417
aflatoxin B1|interacts with|RAP|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/83593
aflatoxin B1|interacts with|ADAP|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/2533
RAP|has gene product|Ras association domain-containing protein 5 (human)|http://www.ncbi.nlm.nih.gov/gene/83593|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_Q8WWW0
Ras association domain-containing protein 5 (human)|molecularly interacts with|Ras-related protein Rap-1A (human)|http://purl.obolibrary.org/obo/PR_Q8WWW0|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/PR_P62834
Ras-related protein Rap-1A (human)|has_gene_template|RAP1|http://purl.obolibrary.org/obo/PR_P62834|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/5906
diazinon|is substance that treats|Lymphoma|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0002665
RHOA|causes or contributes to condition|Lymphoma|http://www.ncbi.nlm.nih.gov/gene/387|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002665
aflatoxin B1|interacts with|CCR7|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/1236
YAP1|participates_in|Generic Transcription Pathway|http://www.ncbi.nlm.nih.gov/gene/10413|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-212436
PRDM1 (human)|participates_in|Generic Transcription Pathway|http://www.ncbi.nlm.nih.gov/gene/639|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-212436
SAV1|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/60485|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
LATS1|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/9113|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
MOB1|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/55233|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
aflatoxin B1|is substance that treats|Hepatocellular carcinoma|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0001402
Rac1|causes or contributes to condition|Hepatocellular carcinoma|http://www.ncbi.nlm.nih.gov/gene/5879|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0001402
YAP1|participates_in|YAP1- and WWTR1 (TAZ)-stimulated gene expression|http://www.ncbi.nlm.nih.gov/gene/10413|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-2032785
TEAD1|participates_in|YAP1- and WWTR1 (TAZ)-stimulated gene expression|http://www.ncbi.nlm.nih.gov/gene/7003|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-2032785
TEAD2|participates_in|Generic Transcription Pathway|http://www.ncbi.nlm.nih.gov/gene/8463|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-212436
YAP1|participates_in|Metabolism|http://www.ncbi.nlm.nih.gov/gene/10413|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1430728
TEAD3|participates_in|Metabolism|http://www.ncbi.nlm.nih.gov/gene/7005|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1430728
TEAD4|participates_in|Metabolism|http://www.ncbi.nlm.nih.gov/gene/7004|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1430728
TEAD1|participates_in|Generic Transcription Pathway|http://www.ncbi.nlm.nih.gov/gene/7003|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-212436
RAP1|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/5906|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
TEAD1|participates_in|Metabolism|http://www.ncbi.nlm.nih.gov/gene/7003|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1430728
Rac1|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/5879|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
TEAD2|participates_in|Metabolism|http://www.ncbi.nlm.nih.gov/gene/8463|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1430728
valproic acid|interacts with|TEAD3|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/7005
valproic acid|interacts with|Blimp1|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/639
valproic acid|interacts with|TEAD4|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/7004
Rac1|causes or contributes to condition|Intellectual disability|http://www.ncbi.nlm.nih.gov/gene/5879|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0001249
combined immunodeficiency with faciooculoskeletal anomalies|has phenotype|Intellectual disability|http://purl.obolibrary.org/obo/MONDO_0013226|http://purl.obolibrary.org/obo/RO_0002200|http://purl.obolibrary.org/obo/HP_0001249
SKAP|causes or contributes to condition|combined immunodeficiency with faciooculoskeletal anomalies|http://www.ncbi.nlm.nih.gov/gene/90417|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0013226
FOXO6|has gene product|forkhead box protein O6 (human)|http://www.ncbi.nlm.nih.gov/gene/100132074|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_A8MYZ6
forkhead box protein O6 (human)|participates_in|Constitutive Signaling by AKT1 E17K in Cancer|http://purl.obolibrary.org/obo/PR_A8MYZ6|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-5674400
FOXO1|participates_in|Constitutive Signaling by AKT1 E17K in Cancer|http://www.ncbi.nlm.nih.gov/gene/2308|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-5674400
forkhead box protein O6 (human)|participates_in|PIP3 activates AKT signaling|http://purl.obolibrary.org/obo/PR_A8MYZ6|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1257604
FOXO3|participates_in|PIP3 activates AKT signaling|http://www.ncbi.nlm.nih.gov/gene/2309|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1257604
forkhead box protein O6 (human)|has function|protein binding|http://purl.obolibrary.org/obo/PR_A8MYZ6|http://purl.obolibrary.org/obo/RO_0000085|http://purl.obolibrary.org/obo/GO_0005515
Ras association domain-containing protein 5 (human)|has function|protein binding|http://purl.obolibrary.org/obo/PR_Q8WWW0|http://purl.obolibrary.org/obo/RO_0000085|http://purl.obolibrary.org/obo/GO_0005515
zinc atom|molecularly interacts with|protein binding|http://purl.obolibrary.org/obo/CHEBI_27363|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/GO_0005515
