S|P|O
Ca 2+|participates_in|Unblocking of NMDA receptors, glutamate binding and activation
CAMK2B (human)|participates_in|Unblocking of NMDA receptors, glutamate binding and activation
MTOR|participates_in|MTOR signalling
RPTOR (human)|participates_in|MTOR signalling
rapamycin|interacts with|serine/threonine-protein kinase mTOR (human)
serine/threonine-protein kinase mTOR (human)|has_gene_template|MTOR
NTRK2|causes or contributes to condition|Glioma
HRAS|causes or contributes to condition|Glioma
NTRK2|causes or contributes to condition|diffuse astrocytoma
KRAS|causes or contributes to condition|diffuse astrocytoma
NTRK2|participates_in|Signaling by NTRKs
NRAS|participates_in|Signaling by NTRKs
NTRK2|participates_in|Signaling by NTRK1 (TRKA)
PIK3CA|participates_in|Signaling by NTRK1 (TRKA)
PIK3CB|participates_in|Signaling by NTRK1 (TRKA)
NTRK2|participates_in|Signal Transduction
PIK3R2|participates_in|Signal Transduction
MAPK3|participates_in|Insulin receptor signalling cascade
TSC1|participates_in|Insulin receptor signalling cascade
MTOR|participates_in|Insulin receptor signalling cascade
RPS6KB1 (human)|participates_in|Insulin receptor signalling cascade
AKT2|participates_in|Intrinsic Pathway for Apoptosis
AKT3|participates_in|Intrinsic Pathway for Apoptosis
HRAS|participates_in|Signaling by high-kinase activity BRAF mutants
MAPK1|participates_in|Signaling by high-kinase activity BRAF mutants
HRAS|participates_in|Axon guidance
NRAS|participates_in|Axon guidance
KRAS|participates_in|Prolonged ERK activation events
MAPK3|participates_in|Prolonged ERK activation events
KRAS|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
MAPK1|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
KRAS|participates_in|Signaling by SCF-KIT
NRAS|participates_in|Signaling by SCF-KIT
NRAS|participates_in|Signaling by FGFR1
MAPK3|participates_in|Signaling by FGFR1
NRAS|participates_in|Signaling by FGFR3
MAPK1|participates_in|Signaling by FGFR3
AKT2|subClassOf|gene
TSC1|subClassOf|gene
AKT2|participates_in|Costimulation by the CD28 family
AKT1|participates_in|Costimulation by the CD28 family
PIK3R1|participates_in|Signaling by NTRK1 (TRKA)
HRAS|participates_in|Fc epsilon receptor (FCERI) signaling
MAPK3|participates_in|Fc epsilon receptor (FCERI) signaling
BDNF|causes or contributes to condition|Status epilepticus without prominent motor symptoms
NTRK2|causes or contributes to condition|Status epilepticus without prominent motor symptoms
PIK3CB|participates_in|Interleukin-3, Interleukin-5 and GM-CSF signaling
PIK3R1|participates_in|Interleukin-3, Interleukin-5 and GM-CSF signaling
PIK3R2|participates_in|Downstream signaling events of B Cell Receptor (BCR)
AKT2|participates_in|Downstream signaling events of B Cell Receptor (BCR)
MAPK1|participates_in|Signaling by Insulin receptor
TSC1|participates_in|Signaling by Insulin receptor
CACNA1C|participates_in|Regulation of insulin secretion
Ca 2+|participates_in|Regulation of insulin secretion
GRM1|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
PIK3CA|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
GRM1|participates_in|Signaling by GPCR
PIK3CB|participates_in|Signaling by GPCR
GRM1|participates_in|Signal Transduction
PIK3R1|participates_in|Signal Transduction
AKT3|subClassOf|gene
GRM1|participates_in|Neurexins and neuroligins
HOMER1|participates_in|Neurexins and neuroligins
