S|P|O|S_ID|P_ID|O_ID
AKT1|participates_in|Membrane Trafficking|http://www.ncbi.nlm.nih.gov/gene/207|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-199991
Rab43|participates_in|Membrane Trafficking|http://www.ncbi.nlm.nih.gov/gene/339122|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-199991
valproic acid|interacts with|ERK 2|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/5594
valproic acid|interacts with|FOXO1|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/2308
Pdx1|causes or contributes to condition|Neoplasm of the pancreas|http://www.ncbi.nlm.nih.gov/gene/3651|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002894
AKT2|causes or contributes to condition|Neoplasm of the pancreas|http://www.ncbi.nlm.nih.gov/gene/208|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002894
CDK2|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/1017|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
AKT1|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/207|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
cMyc|causes or contributes to condition|Glioblastoma multiforme|http://www.ncbi.nlm.nih.gov/gene/4609|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0012174
CDK2|causes or contributes to condition|Glioblastoma multiforme|http://www.ncbi.nlm.nih.gov/gene/1017|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0012174
Smad7|causes or contributes to condition|Neoplasm of the large intestine|http://www.ncbi.nlm.nih.gov/gene/4092|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0100834
AKT1|causes or contributes to condition|Neoplasm of the large intestine|http://www.ncbi.nlm.nih.gov/gene/207|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0100834
Smad7|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/4092|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
AKT2|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/208|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
AKT3|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/10000|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
CDK4|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/1019|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
KALRN (human)|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/8997|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
valproic acid|interacts with|KALRN (human)|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/8997
valproic acid|interacts with|Rab43|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/339122
CRTC2|has gene product|CREB-regulated transcription coactivator 2 (human)|http://www.ncbi.nlm.nih.gov/gene/200186|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_Q53ET0
CREB-regulated transcription coactivator 2 (human)|molecularly interacts with|14-3-3 protein sigma (human)|http://purl.obolibrary.org/obo/PR_Q53ET0|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/PR_P31947
5-aza-2'-deoxycytidine|interacts with|14-3-3 protein sigma (human)|http://purl.obolibrary.org/obo/CHEBI_50131|http://purl.obolibrary.org/obo/RO_0002434|http://purl.obolibrary.org/obo/PR_P31947
5-aza-2'-deoxycytidine|interacts with|Rasf1a|http://purl.obolibrary.org/obo/CHEBI_50131|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/11186
AKT3|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/10000|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
diazinon|interacts with|FOXM1|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/2305
diazinon|interacts with|Rasf1a|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/11186
FOXM1|causes or contributes to condition|Neoplasm of the breast|http://www.ncbi.nlm.nih.gov/gene/2305|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0100013
AKT1|causes or contributes to condition|Neoplasm of the breast|http://www.ncbi.nlm.nih.gov/gene/207|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0100013
CDK2|has gene product|cyclin-dependent kinase 2 (human)|http://www.ncbi.nlm.nih.gov/gene/1017|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P24941
arsenous acid|interacts with|cyclin-dependent kinase 2 (human)|http://purl.obolibrary.org/obo/CHEBI_49900|http://purl.obolibrary.org/obo/RO_0002434|http://purl.obolibrary.org/obo/PR_P24941
arsenous acid|interacts with|Rasf1a|http://purl.obolibrary.org/obo/CHEBI_49900|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/11186
Pdx1|participates_in|Developmental Biology|http://www.ncbi.nlm.nih.gov/gene/3651|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1266738
RXRA (human)|participates_in|Developmental Biology|http://www.ncbi.nlm.nih.gov/gene/6256|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1266738
RXRA (human)|participates_in|Transcriptional activation of mitochondrial biogenesis|http://www.ncbi.nlm.nih.gov/gene/6256|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-2151201
CRTC2|participates_in|Transcriptional activation of mitochondrial biogenesis|http://www.ncbi.nlm.nih.gov/gene/200186|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-2151201
cyclin-dependent kinase 2 (human)|participates_in|Developmental Biology|http://purl.obolibrary.org/obo/PR_P24941|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1266738
cyclin-dependent kinase 2 (human)|has_gene_template|CDK2|http://purl.obolibrary.org/obo/PR_P24941|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/1017
