term|term_label|term_id|NER_Method
YAP1|YAP1|http://purl.obolibrary.org/obo/PR_000017522|lab
MM|MM|http://purl.obolibrary.org/obo/MONDO_0006292|lab
CTGF|CTGF|http://purl.obolibrary.org/obo/PR_000003172|lab
target genes|target genes|http://purl.obolibrary.org/obo/SO_0001867|lab
mesothelial cells|mesothelial cells|http://purl.obolibrary.org/obo/CL_0000077|lab
LATS1|LATS1|http://purl.obolibrary.org/obo/PR_000009686|lab
gene|gene|http://purl.obolibrary.org/obo/SO_0000704|lab
genes|genes|http://purl.obolibrary.org/obo/SO_0000704|lab
tumor|tumor|http://purl.obolibrary.org/obo/MONDO_0005070|lab
BAP1|BAP1|http://purl.obolibrary.org/obo/PR_000004641|lab
BAP1|BAP1|http://purl.obolibrary.org/obo/PR_000014115|lab
BAP1|BAP1|http://purl.obolibrary.org/obo/PR_000010083|lab
CDKN2A|CDKN2A|http://purl.obolibrary.org/obo/PR_000029097|lab
peritoneal cavities|peritoneal cavities|http://purl.obolibrary.org/obo/UBERON_0001179|lab
Malignant mesothelioma|Malignant mesothelioma|http://purl.obolibrary.org/obo/MONDO_0006292|lab
Malignant Mesothelioma|Malignant Mesothelioma|http://purl.obolibrary.org/obo/MONDO_0006292|lab
cancers|cancers|none|ner
malignant mesothelioma|malignant mesothelioma|none|ner
cancer|cancer|none|ner
medial mammillary nucleus|medial mammillary nucleus|http://purl.obolibrary.org/obo/UBERON_0001939|ner
neoplasm|neoplasm|http://purl.obolibrary.org/obo/MPATH_218|ner
CDKN2A|CDKN2A|http://www.ncbi.nlm.nih.gov/gene/1029|ner
arf|arf|http://www.ncbi.nlm.nih.gov/gene/1029|ner
NF2|NF2|http://www.ncbi.nlm.nih.gov/gene/4771|ner
BAP1 (human)|BAP1 (human)|http://www.ncbi.nlm.nih.gov/gene/8314|ner
merlin|merlin|http://purl.obolibrary.org/obo/PR_000003020|ner
LATS1 (human)|LATS1 (human)|http://www.ncbi.nlm.nih.gov/gene/9113|ner
YAP1 (human)|YAP1 (human)|http://www.ncbi.nlm.nih.gov/gene/10413|ner
TAZ|TAZ|http://www.ncbi.nlm.nih.gov/gene/6901|ner
ccdn1|ccdn1|http://www.ncbi.nlm.nih.gov/gene/595|ner
ctgf|ctgf|http://www.ncbi.nlm.nih.gov/gene/1490|ner
malignant mesothelioma (mm)|malignant mesothelioma (mm)|http://purl.obolibrary.org/obo/MONDO_0006292|gpt
cdkn2a/arf|cdkn2a/arf|http://www.ncbi.nlm.nih.gov/gene/1029|gpt
NF2|NF2|http://www.ncbi.nlm.nih.gov/gene/4771|gpt
BAP1 (human)|BAP1 (human)|http://www.ncbi.nlm.nih.gov/gene/8314|gpt
merlin|merlin|http://purl.obolibrary.org/obo/PR_000003020|gpt
lats1/2|lats1/2|none|gpt
yap1/taz|yap1/taz|none|gpt
ccdn1|ccdn1|http://www.ncbi.nlm.nih.gov/gene/595|gpt
ctgf|ctgf|http://www.ncbi.nlm.nih.gov/gene/1490|gpt
hippo pathway|hippo pathway|http://purl.obolibrary.org/obo/PW_0001515|gpt
