term|term_label|term_id|NER_Method
DLBCL|DLBCL|http://purl.obolibrary.org/obo/MONDO_0018905|lab
DUSP6|DUSP6|http://purl.obolibrary.org/obo/PR_000006756|lab
FBXL10|FBXL10|http://purl.obolibrary.org/obo/PR_000007368|lab
ERK1|ERK1|http://purl.obolibrary.org/obo/PR_000000104|lab
ERK1|ERK1|http://purl.obolibrary.org/obo/PR_000000103|lab
promoter|promoter|http://purl.obolibrary.org/obo/SO_0000167|lab
histone|histone|http://purl.obolibrary.org/obo/CHEBI_15358|lab
genes|genes|http://purl.obolibrary.org/obo/SO_0000704|lab
mouse|mouse|http://purl.obolibrary.org/obo/NCBITaxon_10088|lab
tumor|tumor|http://purl.obolibrary.org/obo/MONDO_0005070|lab
tissues|tissues|http://purl.obolibrary.org/obo/UBERON_0000479|lab
diffuse large B-cell lymphoma|diffuse large B-cell lymphoma|http://purl.obolibrary.org/obo/MONDO_0018905|lab
human|human|http://purl.obolibrary.org/obo/NCBITaxon_9606|lab
KDM2B|KDM2B|http://purl.obolibrary.org/obo/PR_000007368|lab
life-death temporal boundary|life-death temporal boundary|http://purl.obolibrary.org/obo/UBERON_0035944|ner
fbxl10|fbxl10|none|ner
diffuse large B-cell lymphoma|diffuse large B-cell lymphoma|http://purl.obolibrary.org/obo/MONDO_0018905|ner
cancers|cancers|none|ner
KDM2B (human)|KDM2B (human)|http://www.ncbi.nlm.nih.gov/gene/84678|ner
jhdm1b|jhdm1b|http://www.ncbi.nlm.nih.gov/gene/84678|ner
human|human|http://purl.obolibrary.org/obo/NCBITaxon_9606|ner
dlbcl|dlbcl|none|ner
neoplasm|neoplasm|http://purl.obolibrary.org/obo/MPATH_218|ner
Mus <genus>|Mus <genus>|http://purl.obolibrary.org/obo/NCBITaxon_10088|ner
DUSP6|DUSP6|http://www.ncbi.nlm.nih.gov/gene/1848|ner
erk1/2|erk1/2|none|ner
fbxl10-depleted|fbxl10-depleted|none|ner
diffuse large b-cell lymphoma (dlbcl)|diffuse large b-cell lymphoma (dlbcl)|none|gpt
fbxl10 (kdm2b or jhdm1b)|fbxl10 (kdm2b or jhdm1b)|http://www.ncbi.nlm.nih.gov/gene/84678|gpt
erk1/2|erk1/2|none|gpt
DUSP6|DUSP6|http://www.ncbi.nlm.nih.gov/gene/1848|gpt
erk1/2 signaling pathway|erk1/2 signaling pathway|http://purl.obolibrary.org/obo/GO_0070371|gpt
cell proliferation|cell proliferation|http://purl.obolibrary.org/obo/GO_0008283|gpt
Apoptosis|Apoptosis|https://reactome.org/content/detail/R-HSA-109581|gpt
tumor growth|tumor growth|none|gpt
phosphatase activity|phosphatase activity|http://purl.obolibrary.org/obo/GO_0016791|gpt
histone modifications|histone modifications|none|gpt
