term|term_label|term_id|NER_Method
APP|APP|http://purl.obolibrary.org/obo/PR_000004168|lab
amyloid precursor protein|amyloid precursor protein|http://purl.obolibrary.org/obo/PR_000004168|lab
brain|brain|http://purl.obolibrary.org/obo/UBERON_0000955|lab
Parkinson's disease|Parkinson's disease|http://purl.obolibrary.org/obo/MONDO_0005180|lab
Alzheimer's disease|Alzheimer's disease|http://purl.obolibrary.org/obo/MONDO_0004975|lab
asparagine|asparagine|http://purl.obolibrary.org/obo/CHEBI_17196|lab
cysteine|cysteine|http://purl.obolibrary.org/obo/CHEBI_17561|lab
δ-secretase|δ-secretase|none|ner
Neurodegenerative Diseases|Neurodegenerative Diseases|https://reactome.org/content/detail/R-HSA-8863678|ner
mammalian|mammalian|none|ner
asparagine|asparagine|none|ner
cysteine|cysteine|none|ner
aep|aep|none|ner
neurological diseases|neurological diseases|none|ner
Alzheimer's disease|Alzheimer's disease|http://www.ebi.ac.uk/efo/EFO_0000249|ner
parkinson's  disease|parkinson's  disease|none|ner
frontotemporal dementia|frontotemporal dementia|none|ner
amyloid-beta A4 protein|amyloid-beta A4 protein|http://purl.obolibrary.org/obo/PR_000004168|ner
APP|APP|http://www.ncbi.nlm.nih.gov/gene/351|ner
microtubule-associated protein tau (human)|microtubule-associated protein tau (human)|http://purl.obolibrary.org/obo/PR_P10636|ner
α-synuclein|α-synuclein|none|ner
SET (human)|SET (human)|http://www.ncbi.nlm.nih.gov/gene/6418|ner
TAR DNA-binding protein 43|TAR DNA-binding protein 43|http://purl.obolibrary.org/obo/PR_000016057|ner
neurodegenerative  diseases|neurodegenerative  diseases|none|ner
asparagine endopeptidase (aep)|asparagine endopeptidase (aep)|none|gpt
Alzheimer's disease|Alzheimer's disease|http://www.ebi.ac.uk/efo/EFO_0000249|gpt
Parkinson's disease|Parkinson's disease|http://www.ebi.ac.uk/efo/EFO_0002508|gpt
frontotemporal dementia|frontotemporal dementia|none|gpt
amyloid precursor protein (app)|amyloid precursor protein (app)|none|gpt
amyloid-? (a?)|amyloid-? (a?)|none|gpt
microtubule-associated protein tau (human)|microtubule-associated protein tau (human)|http://purl.obolibrary.org/obo/PR_P10636|gpt
?-synuclein|?-synuclein|none|gpt
SET (human)|SET (human)|http://www.ncbi.nlm.nih.gov/gene/6418|gpt
TAR DNA-binding protein 43|TAR DNA-binding protein 43|http://purl.obolibrary.org/obo/PR_000016057|gpt
?-secretase activity regulation|?-secretase activity regulation|none|gpt
Neurodegenerative Diseases|Neurodegenerative Diseases|https://reactome.org/content/detail/R-HSA-8863678|gpt
