term|term_label|term_id|NER_Method
OA|OA|http://purl.obolibrary.org/obo/MONDO_0005178|lab
chondrocyte|chondrocyte|http://purl.obolibrary.org/obo/CL_0000138|lab
articular cartilage|articular cartilage|http://purl.obolibrary.org/obo/UBERON_0010996|lab
Osteoarthritis|Osteoarthritis|http://purl.obolibrary.org/obo/MONDO_0005178|lab
Hypertrophic Chondrocyte|Hypertrophic Chondrocyte|http://purl.obolibrary.org/obo/CL_0000743|lab
osteoarthritis|osteoarthritis|none|ner
osteoarthritis susceptibility 1|osteoarthritis susceptibility 1|http://purl.obolibrary.org/obo/MONDO_0008143|ner
Pain|Pain|http://purl.obolibrary.org/obo/HP_0012531|ner
osteoarthritis (oa)|osteoarthritis (oa)|http://purl.obolibrary.org/obo/MONDO_0005178|gpt
articular cartilage chondrocyte|articular cartilage chondrocyte|http://purl.obolibrary.org/obo/CL_1001607|gpt
endochondral ossification|endochondral ossification|http://purl.obolibrary.org/obo/GO_0001958|gpt
growth plates|growth plates|none|gpt
chondrocyte cell fate|chondrocyte cell fate|none|gpt
