term|term_label|term_id|NER_Method
cancer|cancer|http://purl.obolibrary.org/obo/MONDO_0004992|lab
homeostasis|homeostasis|http://purl.obolibrary.org/obo/GO_0042592|lab
SnoN|SnoN|http://purl.obolibrary.org/obo/PR_000014906|lab
gene|gene|http://purl.obolibrary.org/obo/SO_0000704|lab
histone|histone|http://purl.obolibrary.org/obo/CHEBI_15358|lab
Smad4|Smad4|http://purl.obolibrary.org/obo/PR_000000128|lab
Smad protein|Smad protein|http://purl.obolibrary.org/obo/PR_000000027|lab
genes|genes|http://purl.obolibrary.org/obo/SO_0000704|lab
tissue homeostasis|tissue homeostasis|http://purl.obolibrary.org/obo/GO_0001894|lab
transforming growth factor-β|transforming growth factor-β|http://purl.obolibrary.org/obo/PR_000000046|lab
snon|snon|http://www.ncbi.nlm.nih.gov/gene/6498|ner
tgf-β|tgf-β|http://www.ncbi.nlm.nih.gov/gene/7040|ner
transforming growth factor-β (|transforming growth factor-β (|none|ner
smad|smad|none|ner
smad4|smad4|http://www.ncbi.nlm.nih.gov/gene/4089|ner
histone acetyltransferase p300|histone acetyltransferase p300|http://purl.obolibrary.org/obo/PR_000007102|ner
cbp|cbp|http://www.ncbi.nlm.nih.gov/gene/55824|ner
fibrosis|fibrosis|none|ner
cancer|cancer|http://purl.obolibrary.org/obo/MONDO_0004992|ner
tgf-? (transforming growth factor-?)|tgf-? (transforming growth factor-?)|none|gpt
smad|smad|none|gpt
ski (sloan-kettering institute)|ski (sloan-kettering institute)|none|gpt
snon (ski novel)|snon (ski novel)|none|gpt
r-smad/smad4 complexes|r-smad/smad4 complexes|none|gpt
p300/cbp|p300/cbp|none|gpt
tgf-?/smad signaling pathway|tgf-?/smad signaling pathway|none|gpt
fibrosis|fibrosis|none|gpt
cancer|cancer|http://purl.obolibrary.org/obo/MONDO_0004992|gpt
