term|term_label|term_id|NER_Method
glaucoma|glaucoma|http://purl.obolibrary.org/obo/MONDO_0005041|lab
cell differentiation|cell differentiation|http://purl.obolibrary.org/obo/GO_0030154|lab
cell death|cell death|http://purl.obolibrary.org/obo/GO_0008219|lab
organ|organ|http://purl.obolibrary.org/obo/UBERON_0000062|lab
Drosophila|Drosophila|http://purl.obolibrary.org/obo/NCBITaxon_7215|lab
transforming growth factor‑β|transforming growth factor‑β|http://purl.obolibrary.org/obo/PR_000000046|lab
lysophosphatidic acid|lysophosphatidic acid|http://purl.obolibrary.org/obo/CHEBI_132742|lab
blindness|blindness|http://purl.obolibrary.org/obo/MONDO_0001941|lab
Glaucoma|Glaucoma|http://purl.obolibrary.org/obo/MONDO_0005041|lab
LPA (human)|LPA (human)|http://www.ncbi.nlm.nih.gov/gene/4018|ner
glaucoma|glaucoma|http://purl.obolibrary.org/obo/MONDO_0005041|ner
people|people|none|ner
Blindness|Blindness|http://purl.obolibrary.org/obo/HP_0000618|ner
lysophosphatidic acid|lysophosphatidic acid|http://purl.obolibrary.org/obo/CHEBI_132742|ner
transforming  growth factor‑β|transforming  growth factor‑β|none|ner
yap|yap|http://www.ncbi.nlm.nih.gov/gene/10413|ner
TAZ|TAZ|http://www.ncbi.nlm.nih.gov/gene/6901|ner
drosophila|drosophila|none|ner
glaucoma|glaucoma|http://purl.obolibrary.org/obo/MONDO_0005041|gpt
eye trabecular meshwork|eye trabecular meshwork|http://purl.obolibrary.org/obo/UBERON_0005969|gpt
wnt signaling pathway|wnt signaling pathway|http://purl.obolibrary.org/obo/GO_0016055|gpt
lysophosphatidic acid (lpa) pathway|lysophosphatidic acid (lpa) pathway|http://purl.obolibrary.org/obo/GO_0035727|gpt
transforming growth factor-? (tgf-?) pathway|transforming growth factor-? (tgf-?) pathway|http://purl.obolibrary.org/obo/GO_0007179|gpt
yes-associated protein (yap)|yes-associated protein (yap)|http://purl.obolibrary.org/obo/PR_P46937|gpt
transcriptional co-activator with pdz-binding motif (taz)|transcriptional co-activator with pdz-binding motif (taz)|http://www.ncbi.nlm.nih.gov/gene/25937|gpt
hippo pathway|hippo pathway|http://purl.obolibrary.org/obo/PW_0001515|gpt
cell proliferation|cell proliferation|http://purl.obolibrary.org/obo/GO_0008283|gpt
cell death|cell death|http://purl.obolibrary.org/obo/GO_0008219|gpt
cell differentiation|cell differentiation|http://purl.obolibrary.org/obo/GO_0030154|gpt
