term|term_label|term_id|NER_Method
human|human|http://purl.obolibrary.org/obo/NCBITaxon_9606|lab
axoneme|axoneme|http://purl.obolibrary.org/obo/GO_0005930|lab
Cytoplasmic|Cytoplasmic|http://purl.obolibrary.org/obo/GO_0005737|lab
cilium|cilium|http://purl.obolibrary.org/obo/GO_0005929|lab
cytoplasm|cytoplasm|http://purl.obolibrary.org/obo/GO_0005737|lab
transport|transport|http://purl.obolibrary.org/obo/GO_0006810|lab
dynein-2|dynein-2|none|ner
human|human|http://purl.obolibrary.org/obo/NCBITaxon_9606|ner
wdr60|wdr60|http://www.ncbi.nlm.nih.gov/gene/55112|ner
tctex1|tctex1|http://www.ncbi.nlm.nih.gov/gene/6993|ner
wdr34|wdr34|http://www.ncbi.nlm.nih.gov/gene/89891|ner
lc8|lc8|http://www.ncbi.nlm.nih.gov/gene/8655|ner
cytoplasmic dynein-1|cytoplasmic dynein-1|http://www.ncbi.nlm.nih.gov/gene/1778|gpt
dynein-2|dynein-2|none|gpt
microtubule|microtubule|http://purl.obolibrary.org/obo/GO_0005874|gpt
axoneme|axoneme|http://purl.obolibrary.org/obo/GO_0005930|gpt
eukaryotic cilia|eukaryotic cilia|http://purl.obolibrary.org/obo/GO_0036064|gpt
flagella|flagella|none|gpt
atp-driven motor complexes|atp-driven motor complexes|none|gpt
