term|term_label|term_id|NER_Method
glaucoma|glaucoma|http://purl.obolibrary.org/obo/MONDO_0005041|lab
cell differentiation|cell differentiation|http://purl.obolibrary.org/obo/GO_0030154|lab
cell death|cell death|http://purl.obolibrary.org/obo/GO_0008219|lab
organ|organ|http://purl.obolibrary.org/obo/UBERON_0000062|lab
Drosophila|Drosophila|http://purl.obolibrary.org/obo/NCBITaxon_7215|lab
transforming growth factor‑β|transforming growth factor‑β|http://purl.obolibrary.org/obo/PR_000000046|lab
lysophosphatidic acid|lysophosphatidic acid|http://purl.obolibrary.org/obo/CHEBI_132742|lab
blindness|blindness|http://purl.obolibrary.org/obo/MONDO_0001941|lab
Glaucoma|Glaucoma|http://purl.obolibrary.org/obo/MONDO_0005041|lab
cardiovascular disease|cardiovascular disease|http://purl.obolibrary.org/obo/MONDO_0004995|ner
life-death temporal boundary|life-death temporal boundary|http://purl.obolibrary.org/obo/UBERON_0035944|ner
cardiac deterioration|cardiac deterioration|none|ner
cardiomyocyte loss|cardiomyocyte loss|none|ner
heart disease|heart disease|http://purl.obolibrary.org/obo/DOID_114|ner
neoplasm|neoplasm|http://purl.obolibrary.org/obo/MPATH_218|ner
mammalian|mammalian|none|ner
MST1 (human)|MST1 (human)|http://www.ncbi.nlm.nih.gov/gene/4485|ner
TAZ|TAZ|http://www.ncbi.nlm.nih.gov/gene/6901|ner
rassf1a|rassf1a|http://www.ncbi.nlm.nih.gov/gene/11186|ner
NF2|NF2|http://www.ncbi.nlm.nih.gov/gene/4771|ner
map4ks|map4ks|none|ner
ndr1|ndr1|http://www.ncbi.nlm.nih.gov/gene/11329|ner
yap|yap|http://www.ncbi.nlm.nih.gov/gene/10413|ner
cancers|cancers|none|ner
hypertrophic|hypertrophic|http://purl.obolibrary.org/obo/PATO_0000584|ner
cardiovascular disease|cardiovascular disease|http://purl.obolibrary.org/obo/MONDO_0004995|gpt
mst1/2|mst1/2|none|gpt
SAV1 (human)|SAV1 (human)|http://www.ncbi.nlm.nih.gov/gene/60485|gpt
lats1/2|lats1/2|none|gpt
mob1|mob1|none|gpt
yap/taz|yap/taz|none|gpt
rassf1a|rassf1a|none|gpt
nf2 (merlin)|nf2 (merlin)|none|gpt
map4ks|map4ks|none|gpt
ndr1/2|ndr1/2|none|gpt
Hippo signaling pathway|Hippo signaling pathway|http://purl.obolibrary.org/obo/PW_0001515|gpt
cardiomyocyte loss|cardiomyocyte loss|none|gpt
hypertrophic|hypertrophic|http://purl.obolibrary.org/obo/PATO_0000584|gpt
angiogenesis|angiogenesis|http://purl.obolibrary.org/obo/GO_0001525|gpt
regeneration|regeneration|http://purl.obolibrary.org/obo/GO_0031099|gpt
Apoptosis|Apoptosis|https://reactome.org/content/detail/R-HSA-109581|gpt
autophagy|autophagy|none|gpt
