term|term_label|term_id|NER_Method
Purkinje cell|Purkinje cell|http://purl.obolibrary.org/obo/CL_0000121|lab
neurons|neurons|http://purl.obolibrary.org/obo/CL_0000540|lab
dendritic development|dendritic development|http://purl.obolibrary.org/obo/GO_0016358|lab
genes|genes|http://purl.obolibrary.org/obo/SO_0000704|lab
calcium|calcium|http://purl.obolibrary.org/obo/CHEBI_22984|lab
Purkinje cells|Purkinje cells|http://purl.obolibrary.org/obo/CL_0000121|lab
homeostasis|homeostasis|http://purl.obolibrary.org/obo/GO_0042592|lab
intracellular|intracellular|http://purl.obolibrary.org/obo/GO_0005622|lab
human|human|http://purl.obolibrary.org/obo/NCBITaxon_9606|lab
mouse|mouse|http://purl.obolibrary.org/obo/NCBITaxon_10088|lab
ataxia|ataxia|http://purl.obolibrary.org/obo/HP_0001251|lab
SCA14|SCA14|http://purl.obolibrary.org/obo/MONDO_0011540|lab
SCA14|SCA14|http://purl.obolibrary.org/obo/PR_000003060|lab
Itpr1|Itpr1|http://purl.obolibrary.org/obo/PR_000009158|lab
Carbonic anhydrase related protein|Carbonic anhydrase related protein|http://purl.obolibrary.org/obo/PR_000004925|lab
PKCγ|PKCγ|http://purl.obolibrary.org/obo/PR_000003060|lab
cerebellar ataxia|cerebellar ataxia|http://purl.obolibrary.org/obo/MONDO_0000437|lab
calcium signaling|calcium signaling|http://purl.obolibrary.org/obo/GO_0019722|lab
gene|gene|http://purl.obolibrary.org/obo/SO_0000704|lab
protein kinase C gamma|protein kinase C gamma|http://purl.obolibrary.org/obo/PR_000003060|lab
spinocerebellar ataxia type 14|spinocerebellar ataxia type 14|http://purl.obolibrary.org/obo/MONDO_0011540|lab
cerebellar atrophy|cerebellar atrophy|http://purl.obolibrary.org/obo/HP_0001272|lab
progressive ataxia|progressive ataxia|http://purl.obolibrary.org/obo/HP_0002073|lab
Dendritic Development|Dendritic Development|http://purl.obolibrary.org/obo/GO_0016358|lab
PKC|PKC|http://purl.obolibrary.org/obo/PR_000003060|lab
Calcium|Calcium|http://purl.obolibrary.org/obo/CHEBI_22984|lab
calcium(0)|calcium(0)|http://purl.obolibrary.org/obo/CHEBI_29320|ner
ip3r1|ip3r1|http://www.ncbi.nlm.nih.gov/gene/3708|ner
car8|car8|http://www.ncbi.nlm.nih.gov/gene/767|ner
spinocerebellar ataxias|spinocerebellar ataxias|http://purl.obolibrary.org/obo/PW_0000173|ner
scas|scas|none|ner
cerebellar diseases|cerebellar diseases|none|ner
Ataxia|Ataxia|http://purl.obolibrary.org/obo/HP_0001251|ner
Cerebellar atrophy|Cerebellar atrophy|http://purl.obolibrary.org/obo/HP_0001272|ner
spinocerebellar ataxia|spinocerebellar ataxia|http://purl.obolibrary.org/obo/MONDO_0011540|ner
type 14|type 14|none|ner
sca14|sca14|http://purl.obolibrary.org/obo/MONDO_0011540|ner
PRKCG|PRKCG|http://www.ncbi.nlm.nih.gov/gene/5582|ner
pkcγ|pkcγ|http://www.ncbi.nlm.nih.gov/gene/5582|ner
cerebellar ataxia|cerebellar ataxia|http://purl.obolibrary.org/obo/MONDO_0000437|ner
carbonic anhydrase related protein 8|carbonic anhydrase related protein 8|none|ner
ITPR1|ITPR1|http://www.ncbi.nlm.nih.gov/gene/3708|ner
Mus <genus>|Mus <genus>|http://purl.obolibrary.org/obo/NCBITaxon_10088|ner
human|human|http://purl.obolibrary.org/obo/NCBITaxon_9606|ner
cerebellar dysfunction|cerebellar dysfunction|none|ner
purkinje cell loss|purkinje cell loss|none|ner
spinocerebellar ataxias (scas)|spinocerebellar ataxias (scas)|http://purl.obolibrary.org/obo/MONDO_0011540|gpt
prkcg (pkc?)|prkcg (pkc?)|http://www.ncbi.nlm.nih.gov/gene/5582|gpt
sca14|sca14|http://purl.obolibrary.org/obo/MONDO_0011540|gpt
car8 (carbonic anhydrase related protein 8)|car8 (carbonic anhydrase related protein 8)|http://www.ncbi.nlm.nih.gov/gene/767|gpt
itpr1 (ip3r1)|itpr1 (ip3r1)|http://www.ncbi.nlm.nih.gov/gene/3708|gpt
calcium-mediated signaling|calcium-mediated signaling|http://purl.obolibrary.org/obo/GO_0019722|gpt
pkc? signaling pathway|pkc? signaling pathway|none|gpt
purkinje cell dendritic development|purkinje cell dendritic development|http://purl.obolibrary.org/obo/GO_0021680|gpt
calcium homeostasis in purkinje cells|calcium homeostasis in purkinje cells|none|gpt
intracellular calcium homeostasis|intracellular calcium homeostasis|none|gpt
Cerebellar atrophy|Cerebellar atrophy|http://purl.obolibrary.org/obo/HP_0001272|gpt
Ataxia|Ataxia|http://purl.obolibrary.org/obo/HP_0001251|gpt
