term|term_label|term_id|NER_Method
leukocytes|leukocytes|http://purl.obolibrary.org/obo/CL_0000738|lab
neoplastic cells|neoplastic cells|http://purl.obolibrary.org/obo/CL_0001063|lab
cancer|cancer|http://purl.obolibrary.org/obo/MONDO_0004992|lab
tissue homeostasis|tissue homeostasis|http://purl.obolibrary.org/obo/GO_0001894|lab
LATS1|LATS1|http://purl.obolibrary.org/obo/PR_000009686|lab
MST1|MST1|http://purl.obolibrary.org/obo/PR_000015757|lab
MST1|MST1|http://purl.obolibrary.org/obo/PR_000010683|lab
Cancer|Cancer|http://purl.obolibrary.org/obo/MONDO_0004992|lab
cancers|cancers|none|ner
cancer|cancer|http://purl.obolibrary.org/obo/MONDO_0004992|ner
mammalian|mammalian|none|ner
mst1/2|mst1/2|none|ner
lats1/2|lats1/2|none|ner
yap|yap|none|ner
TAZ|TAZ|http://www.ncbi.nlm.nih.gov/gene/6901|ner
cancer|cancer|none|gpt
mst1/2|mst1/2|none|gpt
lats1/2|lats1/2|none|gpt
yap|yap|http://www.ncbi.nlm.nih.gov/gene/10413|gpt
TAZ|TAZ|http://www.ncbi.nlm.nih.gov/gene/6901|gpt
hippo pathway|hippo pathway|http://purl.obolibrary.org/obo/PW_0001515|gpt
immune response|immune response|http://purl.obolibrary.org/obo/GO_0006955|gpt
development/function of leukocytes|development/function of leukocytes|none|gpt
