term|term_label|term_id|NER_Method
cancer|cancer|http://purl.obolibrary.org/obo/MONDO_0004992|lab
nucleus|nucleus|http://purl.obolibrary.org/obo/GO_0005634|lab
organ|organ|http://purl.obolibrary.org/obo/UBERON_0000062|lab
embryonic development|embryonic development|http://purl.obolibrary.org/obo/GO_0009790|lab
tissue|tissue|http://purl.obolibrary.org/obo/UBERON_0000479|lab
WW domain containing transcription regulator 1|WW domain containing transcription regulator 1|http://purl.obolibrary.org/obo/PR_000017466|lab
yap|yap|http://www.ncbi.nlm.nih.gov/gene/10413|ner
TAZ|TAZ|http://www.ncbi.nlm.nih.gov/gene/6901|ner
carcinogenesis|carcinogenesis|none|ner
taz-mediated|taz-mediated|none|ner
cancer|cancer|http://purl.obolibrary.org/obo/MONDO_0004992|ner
yes-associated protein (yap)|yes-associated protein (yap)|http://www.ncbi.nlm.nih.gov/gene/10413|gpt
ww domain containing transcription regulator 1 (taz)|ww domain containing transcription regulator 1 (taz)|http://www.ncbi.nlm.nih.gov/gene/25937|gpt
carcinogenesis|carcinogenesis|none|gpt
cancer progression|cancer progression|none|gpt
embryonic development, organ size control, regeneration|embryonic development, organ size control, regeneration|none|gpt
hippo pathway|hippo pathway|http://purl.obolibrary.org/obo/PW_0001515|gpt
non-hippo mechanisms|non-hippo mechanisms|none|gpt
