S|P|O
KDR|causes or contributes to condition|Lung adenocarcinoma
FGFR3|causes or contributes to condition|Lung adenocarcinoma
PRKCD|participates_in|PLC-gamma1 signalling
PRKCE|participates_in|PLC-gamma1 signalling
PRKCD|participates_in|Fcgamma receptor (FCGR) dependent phagocytosis
RAC1|participates_in|Fcgamma receptor (FCGR) dependent phagocytosis
PRKCD|participates_in|Signaling by ERBB2
RHOA|participates_in|Signaling by ERBB2
CDC42|participates_in|Fcgamma receptor (FCGR) dependent phagocytosis
PRKCB|participates_in|VEGFR2 mediated cell proliferation
PRKCZ|participates_in|VEGFR2 mediated cell proliferation
PRKCB|participates_in|G alpha (z) signalling events
PRKCQ|participates_in|G alpha (z) signalling events
PRKCB|participates_in|Signal Transduction
PRKCI|participates_in|Signal Transduction
PRKAB1|participates_in|Generic Transcription Pathway
YAP1 (human)|participates_in|Generic Transcription Pathway
WWTR1|participates_in|Generic Transcription Pathway
PRKCH|participates_in|Platelet activation, signaling and aggregation
CDC42|participates_in|Platelet activation, signaling and aggregation
RHOA|participates_in|Platelet activation, signaling and aggregation
PRKCH|participates_in|G alpha (z) signalling events
PRKCG|participates_in|PLC-gamma1 signalling
PRKCB|participates_in|VEGFA-VEGFR2 Pathway
CDC42|participates_in|VEGFA-VEGFR2 Pathway
PRKCD|participates_in|Effects of PIP2 hydrolysis
PRKCQ|participates_in|Effects of PIP2 hydrolysis
SMAD3|participates_in|SMAD4 MH2 Domain Mutants in Cancer
SMAD2 (human)|participates_in|SMAD4 MH2 Domain Mutants in Cancer
TCF7|participates_in|Binding of TCF/LEF:CTNNB1 to target gene promoters
CTNNB1 (human)|participates_in|Binding of TCF/LEF:CTNNB1 to target gene promoters
TCF7L2|participates_in|Binding of TCF/LEF:CTNNB1 to target gene promoters
TCF7L1|participates_in|Binding of TCF/LEF:CTNNB1 to target gene promoters
PRKCD|participates_in|G alpha (z) signalling events
PRKAG3|participates_in|Generic Transcription Pathway
PRKCB|participates_in|Disinhibition of SNARE formation
PRKCG|participates_in|Disinhibition of SNARE formation
PRKCB|participates_in|PCP/CE pathway
