,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,AKT2,E6IN9,bb7e5,760.1468924823384,434.34532851484295,80.0,20.0,#None,Entrez Gene,208,POINT (760.1468924823384 434.34532851484295)
1,AKT3,6XGNO,bb7e5,760.1468924823384,454.34532851484295,80.0,20.0,#None,Entrez Gene,10000,POINT (760.1468924823384 454.34532851484295)
2,CDH11,FJ87C,d9337,568.583333333336,153.5277777777768,80.0,20.0,#None,Entrez Gene,1009,POINT (568.583333333336 153.5277777777768)
3,NGEF,CIHCG,d9337,568.583333333336,173.52777777777683,80.0,20.0,#None,Entrez Gene,25791,POINT (568.583333333336 173.52777777777683)
4,FOS,ZVVN9,ae9a3,583.3981481481491,685.5185185185177,80.0,20.0,#None,Entrez Gene,2353,POINT (583.3981481481491 685.5185185185177)
5,EPHB1,GVWQ5,c9763,282.9351851851875,151.2592592592597,80.0,20.0,#None,Entrez Gene,2047,POINT (282.9351851851875 151.2592592592597)
6,MMP9,BLF34,,197.75000000000213,140.00925925925924,80.0,20.0,#None,Entrez Gene,4318,POINT (197.75000000000213 140.00925925925924)
7,MMP2,0JQ4G,,197.7500000000026,120.00925925925924,80.0,20.0,#None,Entrez Gene,4313,POINT (197.7500000000026 120.00925925925924)
8,PIK3CA,AW1AI,cbc4c,721.3611111111084,215.65740740740796,80.0,20.0,#None,Entrez Gene,5290,POINT (721.3611111111084 215.65740740740796)
9,PIK3CB,ILQJD,cbc4c,721.3611111111084,235.65740740740824,80.0,20.0,#None,Entrez Gene,5291,POINT (721.3611111111084 235.65740740740824)
10,PIK3CD,043MF,cbc4c,721.3611111111084,255.65740740740804,80.0,20.0,#None,Entrez Gene,5293,POINT (721.3611111111084 255.65740740740804)
11,PIK3R3,6BJTV,cbc4c,801.2222222222183,215.2870370370375,80.0,20.0,#None,Entrez Gene,8503,POINT (801.2222222222183 215.2870370370375)
12,PIK3R4,IEJ6I,cbc4c,801.2222222222183,235.2870370370377,80.0,20.0,#None,Entrez Gene,30849,POINT (801.2222222222183 235.2870370370377)
13,PIK3R5,K0C7U,cbc4c,801.2222222222183,255.2870370370375,80.0,20.0,#None,Entrez Gene,23533,POINT (801.2222222222183 255.2870370370375)
