S|P|O
KDR|participates_in|Signaling by VEGF
FGFR3|participates_in|Signaling by VEGF
PRKCD|participates_in|Signaling by NTRKs
PRKCE|participates_in|Signaling by NTRKs
PRKCD|participates_in|Fcgamma receptor (FCGR) dependent phagocytosis
RAC1|participates_in|Fcgamma receptor (FCGR) dependent phagocytosis
PRKCD|participates_in|Signaling by VEGF
RHOA|participates_in|Signaling by VEGF
PRKCD|participates_in|Platelet activation, signaling and aggregation
CDC42|participates_in|Platelet activation, signaling and aggregation
PRKCB|participates_in|Hemostasis
PRKCZ|participates_in|Hemostasis
PRKCB|participates_in|Platelet activation, signaling and aggregation
PRKCQ|participates_in|Platelet activation, signaling and aggregation
PRKCB|subClassOf|protein_coding_gene
PRKCI|subClassOf|protein_coding_gene
PRKAB1|participates_in|Gene expression (Transcription)
YAP1 (human)|participates_in|Gene expression (Transcription)
WWTR1|participates_in|Gene expression (Transcription)
PRKCH|participates_in|Platelet activation, signaling and aggregation
PRKCH|participates_in|Signal Transduction
RHOA|participates_in|Signal Transduction
PRKCH|participates_in|Hemostasis
PRKCD|participates_in|Ca-dependent events
PRKCG|participates_in|Ca-dependent events
CDC42|participates_in|Hemostasis
PRKCD|participates_in|Signal Transduction
PRKCQ|participates_in|Signal Transduction
SMAD3|participates_in|Signaling by TGF-beta Receptor Complex
SMAD2 (human)|participates_in|Signaling by TGF-beta Receptor Complex
TCF7|participates_in|Ca2+ pathway
CTNNB1 (human)|participates_in|Ca2+ pathway
TCF7L2|causes or contributes to condition|tubular adenocarcinoma
CTNNB1 (human)|causes or contributes to condition|tubular adenocarcinoma
TCF7L2|participates_in|Repression of WNT target genes
TCF7|participates_in|Repression of WNT target genes
TCF7L1|participates_in|Deactivation of the beta-catenin transactivating complex
CTNNB1 (human)|participates_in|Deactivation of the beta-catenin transactivating complex
TCF7L1|participates_in|Repression of WNT target genes
TCF7L1|participates_in|Signal Transduction
TCF7L2|participates_in|Signal Transduction
PRKCB|participates_in|VEGFA-VEGFR2 Pathway
PRKCD|participates_in|VEGFA-VEGFR2 Pathway
PRKAG3|participates_in|Gene expression (Transcription)
PRKCB|participates_in|Transmission across Chemical Synapses
PRKCG|participates_in|Transmission across Chemical Synapses
PRKCB|participates_in|Signaling by VEGF
PRKCD|participates_in|Effects of PIP2 hydrolysis
PRKCH|participates_in|Effects of PIP2 hydrolysis
PRKCB|participates_in|Signal Transduction
RAC1|participates_in|Signal Transduction
PRKAG2|participates_in|Gene expression (Transcription)
PRKCQ|participates_in|Hemostasis
RAC1|participates_in|Hemostasis
PRKCQ|participates_in|GPCR downstream signalling
CDC42|participates_in|GPCR downstream signalling
PRKCZ|subClassOf|protein_coding_gene
PRKCI|participates_in|Signal Transduction
PRKCI|participates_in|Signaling by NTRKs
RAC1|participates_in|Signaling by NTRKs
PRKCI|participates_in|p75 NTR receptor-mediated signalling
RHOA|participates_in|p75 NTR receptor-mediated signalling
CDC42|participates_in|Signal Transduction
LATS2|participates_in|Signaling by Hippo
YAP1 (human)|participates_in|Signaling by Hippo
GNAQ|participates_in|Platelet activation, signaling and aggregation
PRKCZ|participates_in|Signal Transduction
PRKACA|participates_in|Immune System
RAC1|participates_in|Immune System
PRKAA2|participates_in|Metabolism
PRKAG2|participates_in|Metabolism
valproic acid|interacts with|PRKCG
valproic acid|interacts with|PRKCZ
PRKCG|subClassOf|protein_coding_gene
PRKCQ|subClassOf|protein_coding_gene
PRKCG|participates_in|Signal Transduction
PRKCG|participates_in|Signaling by NTRKs
PRKCG|participates_in|Signaling by NTRK1 (TRKA)
RHOA|participates_in|Signaling by NTRK1 (TRKA)
PRKCG|subClassOf|gene
CDC42|subClassOf|gene
PRKCE|participates_in|Hemostasis
PRKCE|participates_in|Signaling by GPCR
PRKCQ|participates_in|Signaling by GPCR
PRKCE|participates_in|Signal Transduction
PRKCE|participates_in|PLC-gamma1 signalling
PRKCG|participates_in|PLC-gamma1 signalling
PRKCE|participates_in|Fcgamma receptor (FCGR) dependent phagocytosis
RHOA|participates_in|Signaling by NTRKs
CDC42|participates_in|Fcgamma receptor (FCGR) dependent phagocytosis
PRKCZ|participates_in|Signaling by VEGF
PRKAG3|participates_in|Generic Transcription Pathway
WWTR1|participates_in|Generic Transcription Pathway
PRKCQ|participates_in|Axon guidance
RHOA|participates_in|Axon guidance
PRKAG2|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
PRKAG3|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
PLCB2|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
PRKCE|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
CDC42|participates_in|Signaling by VEGF
F-actin|subClassOf|macromolecular complex
temozolomide|molecularly interacts with|macromolecular complex
temozolomide|is substance that treats|anaplastic astrocytoma
