source|target|source_label|target_label|source_id|target_id
SIN3A|SKIL|SIN3A|SKIL|http://www.ncbi.nlm.nih.gov/gene/25942|http://www.ncbi.nlm.nih.gov/gene/6498
TEAD1|TEAD1|TEAD1|TEAD1|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/7003
TEAD4|SKIL|TEAD4|SKIL|http://www.ncbi.nlm.nih.gov/gene/7004|http://www.ncbi.nlm.nih.gov/gene/6498
TEAD4|LATS2|TEAD4|LATS2|http://www.ncbi.nlm.nih.gov/gene/7004|http://www.ncbi.nlm.nih.gov/gene/26524
TEAD3|SKIL|TEAD3|SKIL|http://www.ncbi.nlm.nih.gov/gene/7005|http://www.ncbi.nlm.nih.gov/gene/6498
TEAD3|LATS2|TEAD3|LATS2|http://www.ncbi.nlm.nih.gov/gene/7005|http://www.ncbi.nlm.nih.gov/gene/26524
TEAD1|SKIL|TEAD1|SKIL|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/6498
TEAD1|LATS2|TEAD1|LATS2|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/26524
PRMT5|SKIL|PRMT5|SKIL|http://www.ncbi.nlm.nih.gov/gene/10419|http://www.ncbi.nlm.nih.gov/gene/6498
PRMT5|LATS2|PRMT5|LATS2|http://www.ncbi.nlm.nih.gov/gene/10419|http://www.ncbi.nlm.nih.gov/gene/26524
Mob|SKIL|Mob|SKIL|http://purl.obolibrary.org/obo/PR_Q86VZ5|http://www.ncbi.nlm.nih.gov/gene/6498
Mob|LATS2|Mob|LATS2|http://purl.obolibrary.org/obo/PR_Q86VZ5|http://www.ncbi.nlm.nih.gov/gene/26524
HDAC3|SKIL|HDAC3|SKIL|http://www.ncbi.nlm.nih.gov/gene/8841|http://www.ncbi.nlm.nih.gov/gene/6498
HDAC3|LATS2|HDAC3|LATS2|http://www.ncbi.nlm.nih.gov/gene/8841|http://www.ncbi.nlm.nih.gov/gene/26524
SATB2|SKIL|SATB2|SKIL|http://www.ncbi.nlm.nih.gov/gene/23314|http://www.ncbi.nlm.nih.gov/gene/6498
SATB2|LATS2|SATB2|LATS2|http://www.ncbi.nlm.nih.gov/gene/23314|http://www.ncbi.nlm.nih.gov/gene/26524
HDAC1|SKIL|HDAC1|SKIL|http://www.ncbi.nlm.nih.gov/gene/3065|http://www.ncbi.nlm.nih.gov/gene/6498
HDAC1|LATS2|HDAC1|LATS2|http://www.ncbi.nlm.nih.gov/gene/3065|http://www.ncbi.nlm.nih.gov/gene/26524
NF1|SKIL|NF1|SKIL|http://www.ncbi.nlm.nih.gov/gene/4763|http://www.ncbi.nlm.nih.gov/gene/6498
NF1|LATS2|NF1|LATS2|http://www.ncbi.nlm.nih.gov/gene/4763|http://www.ncbi.nlm.nih.gov/gene/26524
MERTK|SKIL|MERTK|SKIL|http://www.ncbi.nlm.nih.gov/gene/10461|http://www.ncbi.nlm.nih.gov/gene/6498
MERTK|LATS2|MERTK|LATS2|http://www.ncbi.nlm.nih.gov/gene/10461|http://www.ncbi.nlm.nih.gov/gene/26524
TEAD3|TEAD4|TEAD3|TEAD4|http://www.ncbi.nlm.nih.gov/gene/7005|http://www.ncbi.nlm.nih.gov/gene/7004
TEAD1|TEAD4|TEAD1|TEAD4|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/7004
TEAD1|TEAD3|TEAD1|TEAD3|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/7005
LATS2|SKIL|LATS2|SKIL|http://www.ncbi.nlm.nih.gov/gene/26524|http://www.ncbi.nlm.nih.gov/gene/6498
SKIL|MECP2|SKIL|MECP2|http://www.ncbi.nlm.nih.gov/gene/6498|http://www.ncbi.nlm.nih.gov/gene/4204
SKIL|STK3|SKIL|STK3|http://www.ncbi.nlm.nih.gov/gene/6498|http://www.ncbi.nlm.nih.gov/gene/6788
SKIL|ING2|SKIL|ING2|http://www.ncbi.nlm.nih.gov/gene/6498|http://www.ncbi.nlm.nih.gov/gene/3622
SKIL|LATS1|SKIL|LATS1|http://www.ncbi.nlm.nih.gov/gene/6498|http://www.ncbi.nlm.nih.gov/gene/9113
TEAD3|TEAD3|TEAD3|TEAD3|http://www.ncbi.nlm.nih.gov/gene/7005|http://www.ncbi.nlm.nih.gov/gene/7005
TEAD4|TEAD4|TEAD4|TEAD4|http://www.ncbi.nlm.nih.gov/gene/7004|http://www.ncbi.nlm.nih.gov/gene/7004
