S|P|O|S_ID|P_ID|O_ID
LFA-1|participates_in|Neutrophil degranulation|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-6798695
RHOA|participates_in|Neutrophil degranulation|http://www.ncbi.nlm.nih.gov/gene/387|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-6798695
valproic acid|interacts with|LFA-1|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/3683
valproic acid|is substance that treats|Status epilepticus without prominent motor symptoms|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0031475
CCR7 (human)|causes or contributes to condition|Status epilepticus without prominent motor symptoms|http://www.ncbi.nlm.nih.gov/gene/1236|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0031475
LFA-1|causes or contributes to condition|Behcet disease|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0007191
Behcet disease|has phenotype|Pancreatitis|http://purl.obolibrary.org/obo/MONDO_0007191|http://purl.obolibrary.org/obo/RO_0002200|http://purl.obolibrary.org/obo/HP_0001733
LPL|causes or contributes to condition|Pancreatitis|http://www.ncbi.nlm.nih.gov/gene/4023|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0001733
LFA-1|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
FERMT3|participates_in|Hemostasis|http://www.ncbi.nlm.nih.gov/gene/83706|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-109582
RAB44 (human)|participates_in|Neutrophil degranulation|http://www.ncbi.nlm.nih.gov/gene/401258|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-6798695
RAB44 (human)|participates_in|RAB geranylgeranylation|http://www.ncbi.nlm.nih.gov/gene/401258|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-8873719
RAB13 (human)|participates_in|RAB geranylgeranylation|http://www.ncbi.nlm.nih.gov/gene/5872|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-8873719
LFA-1|causes or contributes to condition|Acute promyelocytic leukemia|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0004836
CEBPA|causes or contributes to condition|Acute promyelocytic leukemia|http://www.ncbi.nlm.nih.gov/gene/1050|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0004836
CEBPA|causes or contributes to condition|Squamous cell carcinoma|http://www.ncbi.nlm.nih.gov/gene/1050|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002860
SKAP|causes or contributes to condition|Squamous cell carcinoma|http://www.ncbi.nlm.nih.gov/gene/90417|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002860
LFA-1|has gene product|integrin alpha-L (human)|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P20701
integrin alpha-L (human)|molecularly interacts with|Ras association domain-containing protein 5 (human)|http://purl.obolibrary.org/obo/PR_P20701|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/PR_Q8WWW0
Ras association domain-containing protein 5 (human)|has_gene_template|RAP|http://purl.obolibrary.org/obo/PR_Q8WWW0|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/83593
LFA-1|participates_in|Adaptive Immune System|http://www.ncbi.nlm.nih.gov/gene/3683|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280218
FYB1|participates_in|Adaptive Immune System|http://www.ncbi.nlm.nih.gov/gene/2533|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280218
RAP|causes or contributes to condition|Neuroblastoma|http://www.ncbi.nlm.nih.gov/gene/83593|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0003006
nut midline carcinoma|has phenotype|Neuroblastoma|http://purl.obolibrary.org/obo/MONDO_0005563|http://purl.obolibrary.org/obo/RO_0002200|http://purl.obolibrary.org/obo/HP_0003006
nut midline carcinoma|has phenotype|Squamous cell carcinoma|http://purl.obolibrary.org/obo/MONDO_0005563|http://purl.obolibrary.org/obo/RO_0002200|http://purl.obolibrary.org/obo/HP_0002860
aflatoxin B1|interacts with|RAP|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/83593
aflatoxin B1|interacts with|ADAP|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/2533
RAP|has gene product|Ras association domain-containing protein 5 (human)|http://www.ncbi.nlm.nih.gov/gene/83593|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_Q8WWW0
Ras association domain-containing protein 5 (human)|molecularly interacts with|Ras-related protein Rap-1A (human)|http://purl.obolibrary.org/obo/PR_Q8WWW0|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/PR_P62834
Ras-related protein Rap-1A (human)|has_gene_template|RAP1|http://purl.obolibrary.org/obo/PR_P62834|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/5906
diazinon|interacts with|RAP|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/83593
diazinon|is substance that treats|Lymphoma|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0002665
RHOA|causes or contributes to condition|Lymphoma|http://www.ncbi.nlm.nih.gov/gene/387|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002665
aflatoxin B1|interacts with|CCR7|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/1236
aflatoxin B1|interacts with|RAB13|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/5872
YAP1|participates_in|Generic Transcription Pathway|http://www.ncbi.nlm.nih.gov/gene/10413|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-212436
PRDM1 (human)|participates_in|Generic Transcription Pathway|http://www.ncbi.nlm.nih.gov/gene/639|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-212436
SAV1|participates_in|Signaling by Hippo|http://www.ncbi.nlm.nih.gov/gene/60485|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-2028269
LATS1|participates_in|Signaling by Hippo|http://www.ncbi.nlm.nih.gov/gene/9113|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-2028269
MOB1|participates_in|Signaling by Hippo|http://www.ncbi.nlm.nih.gov/gene/55233|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-2028269
diazinon|is substance that treats|Diabetes mellitus|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0000819
