S|P|O|S_ID|P_ID|O_ID
valproic acid|interacts with|PPP1R14A (human)|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/94274
valproic acid|interacts with|PPP1R12A|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/4659
EGFR|participates_in|Frs2-mediated activation|http://www.ncbi.nlm.nih.gov/gene/1956|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-170968
PDGFRB|participates_in|Frs2-mediated activation|http://www.ncbi.nlm.nih.gov/gene/5159|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-170968
EGFR|participates_in|IRS-mediated signalling|http://www.ncbi.nlm.nih.gov/gene/1956|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-112399
TEK|participates_in|IRS-mediated signalling|http://www.ncbi.nlm.nih.gov/gene/7010|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-112399
EGFR|participates_in|Cytokine Signaling in Immune system|http://www.ncbi.nlm.nih.gov/gene/1956|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280215
FLT3|participates_in|Cytokine Signaling in Immune system|http://www.ncbi.nlm.nih.gov/gene/2322|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280215
EGFR|participates_in|Signalling to RAS|http://www.ncbi.nlm.nih.gov/gene/1956|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-167044
NTRK1|participates_in|Signalling to RAS|http://www.ncbi.nlm.nih.gov/gene/4914|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-167044
EGFR|causes or contributes to condition|Alcoholism|http://www.ncbi.nlm.nih.gov/gene/1956|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0030955
NTRK2|causes or contributes to condition|Alcoholism|http://www.ncbi.nlm.nih.gov/gene/4915|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0030955
CSF1R|participates_in|Immune System|http://www.ncbi.nlm.nih.gov/gene/1436|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-168256
merlin (human)|participates_in|Immune System|http://purl.obolibrary.org/obo/PR_P35240|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-168256
merlin (human)|has_gene_template|NF2|http://purl.obolibrary.org/obo/PR_P35240|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/4771
CSF1R|participates_in|Cytokine Signaling in Immune system|http://www.ncbi.nlm.nih.gov/gene/1436|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280215
FGFR4|participates_in|Cytokine Signaling in Immune system|http://www.ncbi.nlm.nih.gov/gene/2264|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280215
CSF1R|causes or contributes to condition|Breast carcinoma|http://www.ncbi.nlm.nih.gov/gene/1436|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0003002
FLT1|causes or contributes to condition|Breast carcinoma|http://www.ncbi.nlm.nih.gov/gene/2321|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0003002
CSF1R|causes or contributes to condition|Dementia|http://www.ncbi.nlm.nih.gov/gene/1436|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0000726
valproic acid|is substance that treats|Dementia|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0000726
valproic acid|interacts with|FLT4|http://purl.obolibrary.org/obo/CHEBI_39867|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/2324
CSF1R|causes or contributes to condition|Leukemia|http://www.ncbi.nlm.nih.gov/gene/1436|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0001909
pesticide|is substance that treats|Leukemia|http://purl.obolibrary.org/obo/CHEBI_25944|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0001909
pesticide|interacts with|NGFR|http://purl.obolibrary.org/obo/CHEBI_25944|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/4804
CSF1R|causes or contributes to condition|Acute myeloid leukemia|http://www.ncbi.nlm.nih.gov/gene/1436|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0004808
MET|causes or contributes to condition|Acute myeloid leukemia|http://www.ncbi.nlm.nih.gov/gene/4233|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0004808
PDGFRA|participates_in|Cytokine Signaling in Immune system|http://www.ncbi.nlm.nih.gov/gene/5156|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280215
PDGFRB|participates_in|Cytokine Signaling in Immune system|http://www.ncbi.nlm.nih.gov/gene/5159|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280215
PDGFRA|participates_in|IRS-mediated signalling|http://www.ncbi.nlm.nih.gov/gene/5156|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-112399
TEK|participates_in|Cytokine Signaling in Immune system|http://www.ncbi.nlm.nih.gov/gene/7010|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1280215
CSF1R|causes or contributes to condition|leukoencephalopathy with vanishing white matter|http://www.ncbi.nlm.nih.gov/gene/1436|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0011380
leukoencephalopathy with vanishing white matter|has phenotype|Bipolar affective disorder|http://purl.obolibrary.org/obo/MONDO_0011380|http://purl.obolibrary.org/obo/RO_0002200|http://purl.obolibrary.org/obo/HP_0007302
NTRK1|causes or contributes to condition|Bipolar affective disorder|http://www.ncbi.nlm.nih.gov/gene/4914|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0007302
CSF1R|causes or contributes to condition|hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia|http://www.ncbi.nlm.nih.gov/gene/1436|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0009096
hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia|has phenotype|Depression|http://purl.obolibrary.org/obo/MONDO_0009096|http://purl.obolibrary.org/obo/RO_0002200|http://purl.obolibrary.org/obo/HP_0000716
NTRK2|causes or contributes to condition|Depression|http://www.ncbi.nlm.nih.gov/gene/4915|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0000716
FGFR4|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/2264|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
NF2|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/4771|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
FGFR4|causes or contributes to condition|Lung adenocarcinoma|http://www.ncbi.nlm.nih.gov/gene/2264|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0030078
FLT1|causes or contributes to condition|Lung adenocarcinoma|http://www.ncbi.nlm.nih.gov/gene/2321|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0030078
FLT4|participates_in|Signal Transduction|http://www.ncbi.nlm.nih.gov/gene/2324|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-162582
FGFR4|participates_in|Signaling by NTRKs|http://www.ncbi.nlm.nih.gov/gene/2264|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-166520
NGFR|participates_in|Signaling by NTRKs|http://www.ncbi.nlm.nih.gov/gene/4804|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-166520
