S|P|O
PAK1|participates_in|Activation of RAC1
PAK2|participates_in|Activation of RAC1
LIMD1|subClassOf|protein_coding_gene
LATS1|subClassOf|protein_coding_gene
valproic acid|interacts with|MAPK8
valproic acid|interacts with|LIMD1
PAK3|subClassOf|protein_coding_gene
TEAD3|subClassOf|protein_coding_gene
MAPK8|participates_in|MyD88-independent TLR4 cascade 
MAPK9|participates_in|MyD88-independent TLR4 cascade 
ITGB5|subClassOf|protein_coding_gene
SRC|subClassOf|protein_coding_gene
MAPK8|subClassOf|protein_coding_gene
valproic acid|interacts with|ITGB2
valproic acid|interacts with|TEAD3
ITGB5|participates_in|Immune System
MAPK9|participates_in|Immune System
PAK1|participates_in|Immune System
PAK2|subClassOf|protein_coding_gene
ITGB5|participates_in|Adaptive Immune System
PAK3|participates_in|Adaptive Immune System
valproic acid|interacts with|PAK1
PAK5|subClassOf|protein_coding_gene
PAK6|subClassOf|protein_coding_gene
ITGB5|participates_in|Integrin cell surface interactions
ITGB6|participates_in|Integrin cell surface interactions
MAPK9|subClassOf|protein_coding_gene
MAP4K1|subClassOf|protein_coding_gene
ITGB4|subClassOf|protein_coding_gene
ITGB1|subClassOf|protein_coding_gene
PAK5|participates_in|Developmental Biology
PAK6|participates_in|Developmental Biology
PAK3|participates_in|Signaling by ROBO receptors
PAK5|participates_in|Signaling by ROBO receptors
PAK6|participates_in|Activation of RAC1
ITGB2|participates_in|Adaptive Immune System
valproic acid|interacts with|ITGB6
valproic acid|interacts with|PAK6
ITGB6|subClassOf|gene
ITGB4|subClassOf|gene
ITGB6|participates_in|Molecules associated with elastic fibres
ITGB3|participates_in|Molecules associated with elastic fibres
ITGB6|participates_in|Extracellular matrix organization
ITGB2|participates_in|Extracellular matrix organization
ITGB1|participates_in|Molecules associated with elastic fibres
ITGB4|participates_in|Cell-Cell communication
MAPK8|participates_in|Cell-Cell communication
PAK1|subClassOf|protein_coding_gene
valproic acid|interacts with|ITGB4
valproic acid|interacts with|PAK2
ITGB5|participates_in|Non-integrin membrane-ECM interactions
ITGB3|participates_in|Non-integrin membrane-ECM interactions
ITGB4|participates_in|Non-integrin membrane-ECM interactions
PAK1|participates_in|CD28 co-stimulation
