S|P|O
AP2A2|participates_in|Neurotransmitter receptors and postsynaptic signal transmission
GABRA3|participates_in|Neurotransmitter receptors and postsynaptic signal transmission
PTEN|causes or contributes to condition|cutaneous melanoma
PIK3CA|causes or contributes to condition|cutaneous melanoma
PTEN|participates_in|Synthesis of PIPs at the plasma membrane
PIK3CB|participates_in|Synthesis of PIPs at the plasma membrane
PTEN|causes or contributes to condition|activated PI3K-delta syndrome
PIK3R1|causes or contributes to condition|activated PI3K-delta syndrome
PIK3R2|participates_in|Synthesis of PIPs at the plasma membrane
PIK3R3|participates_in|Synthesis of PIPs at the plasma membrane
PIK3CG|participates_in|Synthesis of PIPs at the plasma membrane
PIK3CA|subClassOf|gene
GABRA1|subClassOf|gene
PIK3CA|participates_in|Signaling by NTRK1 (TRKA)
AP2A1|participates_in|Signaling by NTRK1 (TRKA)
AP2A2|participates_in|Signaling by NTRK1 (TRKA)
valproic acid|interacts with|PIK3CA
valproic acid|interacts with|GABRA3
PIK3CA|causes or contributes to condition|Schizophrenia
GABRA4|causes or contributes to condition|Schizophrenia
PIK3CB|participates_in|Signaling by NTRK1 (TRKA)
GABRA5|causes or contributes to condition|Schizophrenia
GABRB3|causes or contributes to condition|Schizophrenia
valproic acid|interacts with|GABRG1
GABRG2|subClassOf|gene
valproic acid|interacts with|GABRG3
GABRD|causes or contributes to condition|Schizophrenia
PIK3CA|subClassOf|protein_coding_gene
GABRE|subClassOf|protein_coding_gene
valproic acid|interacts with|GABRP
GABRQ (human)|causes or contributes to condition|Schizophrenia
PIK3CA|causes or contributes to condition|head and neck carcinoma
PIK3CB|causes or contributes to condition|head and neck carcinoma
PIK3CA|participates_in|MET activates PI3K/AKT signaling
PIK3R1|participates_in|MET activates PI3K/AKT signaling
PIK3CA|participates_in|Tie2 Signaling
PIK3R2|participates_in|Tie2 Signaling
PIK3CA|participates_in|Regulation of signaling by CBL
PIK3R3|participates_in|Regulation of signaling by CBL
PIK3CA|participates_in|G beta:gamma signalling through PI3Kgamma
PIK3CG|participates_in|G beta:gamma signalling through PI3Kgamma
GABRB1|causes or contributes to condition|Schizophrenia
PIK3CB|subClassOf|protein_coding_gene
GABRA1|subClassOf|protein_coding_gene
aflatoxin B1|interacts with|PIK3R1
aflatoxin B1|interacts with|GABRP
PIK3CB|causes or contributes to condition|Schizophrenia
GABRG1|subClassOf|protein_coding_gene
GABRG2|subClassOf|protein_coding_gene
GABRG3|subClassOf|protein_coding_gene
GABRP|subClassOf|protein_coding_gene
PIK3CB|participates_in|Tie2 Signaling
PIK3R1|participates_in|Tie2 Signaling
GABRA3|subClassOf|protein_coding_gene
NGFR|participates_in|Axonal growth stimulation
RHOA|participates_in|Axonal growth stimulation
PIK3CB|participates_in|Regulation of signaling by CBL
PIK3R1|participates_in|Signaling by NTRK1 (TRKA)
aflatoxin B1|interacts with|GABRA3
