S|P|O|S_ID|P_ID|O_ID
aflatoxin B1|interacts with|TrkB|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/4915
aflatoxin B1|is substance that treats|Hepatocellular carcinoma|http://purl.obolibrary.org/obo/CHEBI_2504|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0001402
C/EBP10A𝛽|causes or contributes to condition|Hepatocellular carcinoma|http://www.ncbi.nlm.nih.gov/gene/1051|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0001402
δ-secretase|participates_in|Innate Immune System|http://www.ncbi.nlm.nih.gov/gene/5641|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-168249
polypeptide|participates_in|Innate Immune System|http://purl.obolibrary.org/obo/CHEBI_15841|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-168249
Amyloid-beta|subClassOf|polypeptide|http://purl.obolibrary.org/obo/CHEBI_64645|http://www.w3.org/2000/01/rdf-schema#subClassOf|http://purl.obolibrary.org/obo/CHEBI_15841
diazinon|interacts with|PP2A|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002434|http://www.ncbi.nlm.nih.gov/gene/5516
diazinon|is substance that treats|Decreased body weight|http://purl.obolibrary.org/obo/CHEBI_34682|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0004325
Microtubule-associated protein tau|causes or contributes to condition|Decreased body weight|http://www.ncbi.nlm.nih.gov/gene/4137|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0004325
Microtubule-associated protein tau|causes or contributes to condition|Hepatocellular carcinoma|http://www.ncbi.nlm.nih.gov/gene/4137|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0001402
fibroblastic neoplasm|has phenotype|Hepatocellular carcinoma|http://purl.obolibrary.org/obo/MONDO_0006209|http://purl.obolibrary.org/obo/RO_0002200|http://purl.obolibrary.org/obo/HP_0001402
fibroblastic neoplasm|disease has location|fibroblast|http://purl.obolibrary.org/obo/MONDO_0006209|http://purl.obolibrary.org/obo/RO_0004026|http://purl.obolibrary.org/obo/CL_0000057
fibroblastic neoplasm|disease arises from structure|fibroblast|http://purl.obolibrary.org/obo/MONDO_0006209|http://purl.obolibrary.org/obo/RO_0004030|http://purl.obolibrary.org/obo/CL_0000057
AG08541 cell|derives_from|fibroblast|http://purl.obolibrary.org/obo/CLO_0034380|http://purl.obolibrary.org/obo/RO_0001000|http://purl.obolibrary.org/obo/CL_0000057
