S|P|O
IFNAR1|participates_in|Interferon alpha/beta signaling
IFNAR2|participates_in|Interferon alpha/beta signaling
IFNAR2|participates_in|Regulation of IFNA signaling
JAK1 (human)|participates_in|Regulation of IFNA signaling
TYK2 (human)|participates_in|Interferon alpha/beta signaling
IFNGR2|participates_in|Interferon gamma signaling
JAK1 (human)|participates_in|Interferon gamma signaling
IFNGR2|participates_in|Regulation of IFNG signaling
JAK2|participates_in|Regulation of IFNG signaling
IFNGR2|participates_in|Immune System
TYK2 (human)|participates_in|Immune System
IL10RA|participates_in|Interleukin-10 signaling
JAK1 (human)|participates_in|Interleukin-10 signaling
IL10RA|participates_in|Immune System
JAK2|participates_in|Immune System
IFNAR1|participates_in|Regulation of IFNA signaling
IL10RA|participates_in|Cytokine Signaling in Immune system
TYK2 (human)|participates_in|Cytokine Signaling in Immune system
IL10RB|participates_in|Interleukin-10 signaling
IL10RB|participates_in|Cytokine Signaling in Immune system
JAK2|participates_in|Cytokine Signaling in Immune system
IL10RB|participates_in|Signaling by Interleukins
IFNLR1|participates_in|Signaling by Interleukins
IL22RA1|participates_in|Cytokine Signaling in Immune system
IL20RA|subClassOf|protein_coding_gene
JAK1 (human)|subClassOf|protein_coding_gene
IL20RA|causes or contributes to condition|Spontaneous abortion
JAK2|causes or contributes to condition|Spontaneous abortion
IL20RA|participates_in|Signaling by Interleukins
TYK2 (human)|participates_in|Signaling by Interleukins
IL22RA1|participates_in|Immune System
JAK1 (human)|participates_in|Immune System
IL22RA1|participates_in|Signaling by Interleukins
JAK2|participates_in|Signaling by Interleukins
IL21R|causes or contributes to condition|Severe combined immunodeficiency
JAK3|causes or contributes to condition|Severe combined immunodeficiency
IL6ST|participates_in|IL-6-type cytokine receptor ligand interactions
IL11RA (human)|participates_in|IL-6-type cytokine receptor ligand interactions
CSF3R|subClassOf|gene
JAK2|subClassOf|gene
IL2RA|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
JAK3|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
IL2RA|participates_in|Interleukin receptor SHC signaling
JAK1 (human)|participates_in|Interleukin receptor SHC signaling
IL9R|participates_in|Immune System
JAK3|participates_in|Immune System
IL9R|participates_in|Signaling by Interleukins
JAK1 (human)|participates_in|Signaling by Interleukins
IL21R|subClassOf|protein_coding_gene
IL15RA|subClassOf|protein_coding_gene
IL6ST|participates_in|Cytokine Signaling in Immune system
IL7R|participates_in|Interleukin-7 signaling
IL2RG|participates_in|Interleukin-7 signaling
IL6ST|participates_in|Signaling by Interleukins
CTF1 (human)|participates_in|Signaling by Interleukins
IL2RG|participates_in|Gastrin-CREB signalling pathway via PKC and MAPK
IL2RG|participates_in|Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
