S|P|O|S_ID|P_ID|O_ID
CYP19A1|participates_in|Estrogen biosynthesis|http://www.ncbi.nlm.nih.gov/gene/1588|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-193144
Estradiol-17beta|participates_in|Estrogen biosynthesis|http://purl.obolibrary.org/obo/CHEBI_16469|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-193144
HSD17B1|participates_in|Estrogen biosynthesis|http://www.ncbi.nlm.nih.gov/gene/3292|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-193144
HSD17B1|has gene product|17-beta-hydroxysteroid dehydrogenase type 1 (human)|http://www.ncbi.nlm.nih.gov/gene/3292|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P14061
17-beta-hydroxysteroid dehydrogenase type 1 (human)|molecularly interacts with|NADH dianion|http://purl.obolibrary.org/obo/PR_P14061|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_57945
17-beta-hydroxysteroid dehydrogenase type 1 (human)|molecularly interacts with|NAD anion|http://purl.obolibrary.org/obo/PR_P14061|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_57540
STS|has gene product|steryl-sulfatase (human)|http://www.ncbi.nlm.nih.gov/gene/412|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P08842
steryl-sulfatase (human)|molecularly interacts with|estrone|http://purl.obolibrary.org/obo/PR_P08842|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_17263
steryl-sulfatase (human)|molecularly interacts with|DHEA|http://purl.obolibrary.org/obo/PR_P08842|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_28689
STS|causes or contributes to condition|Insulin resistance|http://www.ncbi.nlm.nih.gov/gene/412|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0000855
Estradiol-17beta|is substance that treats|Insulin resistance|http://purl.obolibrary.org/obo/CHEBI_16469|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0000855
testosterone|is substance that treats|Microprolactinoma|http://purl.obolibrary.org/obo/CHEBI_17347|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0012341
Estradiol-17beta|is substance that treats|Microprolactinoma|http://purl.obolibrary.org/obo/CHEBI_16469|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0012341
estradiol 3-sulphate|has functional parent|Estradiol-17beta|http://purl.obolibrary.org/obo/CHEBI_4866|http://purl.obolibrary.org/obo/chebi#has_functional_parent|http://purl.obolibrary.org/obo/CHEBI_16469
Estradiol-17beta|is substance that treats|prostate intraepithelial neoplasia|http://purl.obolibrary.org/obo/CHEBI_16469|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/MONDO_0005193
ESR2|causes or contributes to condition|prostate intraepithelial neoplasia|http://www.ncbi.nlm.nih.gov/gene/2100|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0005193
ESR1|causes or contributes to condition|prostate intraepithelial neoplasia|http://www.ncbi.nlm.nih.gov/gene/2099|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0005193
