,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,AKT2,NPH39,b0ad4,436.5,428.0,49.0,20.0,#None,Entrez Gene,208,POINT (436.5 428)
1,PRKAA1,Z693M,df203,539.5,518.0,65.0,20.0,#None,Entrez Gene,5562,POINT (539.5 518)
2,PRKAA2,FWT1L,df203,539.5,538.0,65.0,20.0,#None,Entrez Gene,5563,POINT (539.5 538)
3,PRKAB1,N403V,df203,539.5,558.0,65.0,20.0,#None,Entrez Gene,5564,POINT (539.5 558)
4,PRKAB2,3LKMY,df203,539.5,578.0,65.0,20.0,#None,Entrez Gene,5565,POINT (539.5 578)
5,PRKAG1,3DRUJ,df203,603.0,527.0,62.0,20.0,#None,Entrez Gene,5571,POINT (603 527)
6,PRKAG2,LR2GZ,df203,603.0,547.0,62.0,20.0,#None,Entrez Gene,51422,POINT (603 547)
7,PRKAG3,6L47M,df203,603.0,567.0,62.0,20.0,#None,Entrez Gene,53632,POINT (603 567)
8,GRM1,YELSA,ea0e4,516.0,131.0,54.0,20.0,#None,Entrez Gene,2911,POINT (516 131)
9,GRIN1,8YSRB,c2964,137.5,114.0,65.0,20.0,#None,Entrez Gene,2902,POINT (137.5 114)
10,GRIN2A,6IKK2,c2964,137.5,134.0,65.0,20.0,#None,Entrez Gene,2903,POINT (137.5 134)
11,GRIN2B,L9S3X,c2964,137.5,154.0,65.0,20.0,#None,Entrez Gene,2904,POINT (137.5 154)
12,GRIN2D,LBJQ3,c2964,202.5,120.0,65.0,20.0,#None,Entrez Gene,2906,POINT (202.5 120)
13,PIK3CA,Y41B6,ced76,408.0,261.0,62.0,20.0,#None,Entrez Gene,5290,POINT (408 261)
14,PIK3CB,PTVSD,ced76,408.0,281.0,62.0,20.0,#None,Entrez Gene,5291,POINT (408 281)
15,PIK3CD,KZBDY,ced76,408.0,301.0,62.0,20.0,#None,Entrez Gene,5293,POINT (408 301)
16,PIK3R3,6IEBO,ced76,467.5,301.0,55.0,20.0,#None,Entrez Gene,8503,POINT (467.5 301)
17,DLG4,EDUBX,c2964,187.0,194.0,63.0,20.0,#None,Entrez Gene,1742,POINT (187 194)
