source|target
TRPC3|Ca2+
PLCB1|IP3
PLCB1|DAG
PLCB1|PLCB2
PLCB1|PLCB3
PLCB1|PLCB4
PLCB2|IP3
PLCB2|DAG
PLCB2|PLCB1
PLCB2|PLCB3
PLCB2|PLCB4
PLCB3|IP3
PLCB3|DAG
PLCB3|PLCB1
PLCB3|PLCB2
PLCB3|PLCB4
PLCB3|GNA11
PLCB4|IP3
PLCB4|DAG
PLCB4|PLCB1
PLCB4|PLCB2
PLCB4|PLCB3
PRKCG|TRPC3
PRKCG|GRIA2
PRKCG|GRIA1
PRKCG|GRIA3
PRKCG|GRIA4
PDK1|PRKCG
PIP2|IP3
PIP2|DAG
IP3|PI(3,4,5)P3
IP3|IP3R1
Ca2+|Ca2+
Ca2+|PRKCG
PI(3,4,5)P3|PDK1
Na+|Na+
IP3R1|Ca2+
CACNA1A|Ca2+
RYR3|Ca2+
GRIA2|Na+
GRIA2|GRIA1
GRIA2|GRIA3
GRIA2|GRIA4
GRIA1|Na+
GRIA1|GRIA2
GRIA1|GRIA3
GRIA1|GRIA4
GRIA3|Na+
GRIA3|GRIA2
GRIA3|GRIA1
GRIA3|GRIA4
GRIA4|Na+
GRIA4|GRIA2
GRIA4|GRIA1
GRIA4|GRIA3
Ligands|GRM1
GRM1|GNA14
ATP2B2|Ca2+
DAG|PRKCG
GNAQ|GNA11
GNAQ|GNA14
GNAQ|GNA15
GNA11|GNAQ
GNA11|GNA14
GNA11|GNA15
GNA11|PLCB3
GNA14|GNAQ
GNA14|GNA11
GNA14|GNA15
GNA14|GRM1
GNA15|GNAQ
GNA15|GNA11
GNA15|GNA14
