,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,Pdx1,a73cd,,425.61594052297437,353.14072109798724,60.0,25.0,#None,Uniprot-TrEMBL,P52945,POINT (425.61594052297437 353.14072109798724)
1,PI3K,a986a,,211.7538969994755,249.4611590863019,60.0,25.0,#None,InterPro,IPR000403,POINT (211.7538969994755 249.4611590863019)
2,Cyclin D,b1405,c4394,110.54439311743204,355.6558459260798,60.0,25.0,#None,Unknown,Cyclin D,POINT (110.54439311743204 355.6558459260798)
3,ERK 1,b6d92,cbe79,537.450846880558,235.160127758408,60.0,25.0,#None,Uniprot-TrEMBL,P27361,POINT (537.450846880558 235.160127758408)
4,PDGFR-a,bbddc,,724.1471363515438,169.4020311685432,60.0,25.0,#None,Uniprot-TrEMBL,A0A387LBM6,POINT (724.1471363515438 169.4020311685432)
5,TGFB1,c196e,,421.460096735187,106.68756121124409,60.0,25.0,#None,Uniprot-TrEMBL,P01137,POINT (421.460096735187 106.68756121124409)
6,T3,c2c05,,627.0342844701652,223.01775706244763,60.0,25.0,#None,ChEBI,18258,POINT (627.0342844701652 223.01775706244763)
7,T4,c3469,cfab6,625.8755104909774,106.5431232560936,60.0,25.0,#None,ChEBI,18332,POINT (625.8755104909774 106.5431232560936)
8,AKT1,c57fe,bbbf7,318.9116973982101,224.4887166403944,60.0,25.0,#None,Uniprot-TrEMBL,P31749,POINT (318.9116973982101 224.4887166403944)
9,TGFB1R,c8549,,421.460096735187,165.37787182587653,60.0,25.0,#None,Uniprot-TrEMBL,P36897,POINT (421.460096735187 165.37787182587653)
10,Pref-1R,c85c6,,538.1987577327639,167.50369747520728,60.0,25.0,#None,Unknown,Pref-1R,POINT (538.1987577327639 167.50369747520728)
11,TRs,ca5cd,,625.7120718124397,169.6206782649928,60.0,25.0,#None,InterPro,IPR001728,POINT (625.7120718124397 169.6206782649928)
12,K-Ras,cf21c,,797.1145473480412,247.2824272550045,60.0,25.0,#None,Uniprot-TrEMBL,P01116,POINT (797.1145473480412 247.2824272550045)
13,P16ink4a,d26f3,,569.4291127904878,376.855428694273,60.0,25.0,#None,Uniprot-TrEMBL,R9S252,POINT (569.4291127904878 376.855428694273)
14,NFAT,d3670,fc538,110.54439311743204,235.6942186338166,60.0,25.0,#None,InterPro,IPR008366,POINT (110.54439311743204 235.6942186338166)
15,Insulin,d5e77,,871.797983621791,106.68756121124409,60.0,25.0,#None,Uniprot-TrEMBL,P01308,POINT (871.797983621791 106.68756121124409)
16,PDGFa,d88b3,,724.335316185566,106.68756121124409,60.0,25.0,#None,Uniprot-TrEMBL,P04085,POINT (724.335316185566 106.68756121124409)
17,Proliferation,da9c9,,425.61594052297437,444.5513716747282,200.0,47.65625,#3366ff,Wikidata,Q189101,POINT (425.61594052297437 444.5513716747282)
18,EZH2,dad75,,570.5386409503526,320.4337891003462,60.0,25.0,#None,Uniprot-TrEMBL,Q75MQ0,POINT (570.5386409503526 320.4337891003462)
19,B-Raf,dc1ff,,686.3435806926759,292.71921203039733,60.0,25.0,#None,Uniprot-TrEMBL,P15056,POINT (686.3435806926759 292.71921203039733)
20,IGF-1R,dd178,,797.1145473480412,170.67032819490615,60.0,25.0,#None,Uniprot-TrEMBL,P08069,POINT (797.1145473480412 170.67032819490615)
21,Ca2+,e1323,,110.54439311743204,106.68756121124409,60.0,25.0,#None,ChEBI,29108,POINT (110.54439311743204 106.68756121124409)
22,Smad7,e23e5,,421.460096735187,224.83968329830475,60.0,25.0,#None,Uniprot-TrEMBL,O15105,POINT (421.460096735187 224.83968329830475)
23,PLGF,e40ea,,243.25271866868104,106.68756121124409,60.0,25.0,#None,Uniprot-TrEMBL,P49763,POINT (243.25271866868104 106.68756121124409)
24,Rab43,e9929,,300.37627437392064,350.0331246964183,60.0,25.0,#None,Uniprot-TrEMBL,Q86YS6,POINT (300.37627437392064 350.0331246964183)
25,CRTC2,f0f4b,fc538,110.54439311743204,260.6942186338166,60.0,25.0,#None,Uniprot-TrEMBL,Q53ET0,POINT (110.54439311743204 260.6942186338166)
26,VEGFR-1,f14e9,,242.8922878470816,167.92321578593877,60.0,25.0,#None,Uniprot-TrEMBL,P17948,POINT (242.8922878470816 167.92321578593877)
27,FOXO1,f309a,,425.61594052297437,293.7458046415136,60.0,25.0,#None,Uniprot-TrEMBL,Q12778,POINT (425.61594052297437 293.7458046415136)
28,IR,f5e47,,871.4294199364554,170.0887078805168,60.0,25.0,#None,Uniprot-TrEMBL,P06213,POINT (871.4294199364554 170.0887078805168)
29,Cyclin A,fd00b,c4394,110.54439311743204,330.6558459260798,60.0,25.0,#None,Unknown,Cyclin A,POINT (110.54439311743204 330.6558459260798)
30,IGF-1,fdcc7,,797.1145473480412,106.68756121124409,60.0,25.0,#None,Uniprot-TrEMBL,P05019,POINT (797.1145473480412 106.68756121124409)
31,Pref-1,ff12f,,538.472550803593,106.68756121124409,60.0,25.0,#None,Uniprot-TrEMBL,P80370,POINT (538.472550803593 106.68756121124409)
32,Rasf1a,ff572,,813.2447415711815,385.5201215714594,60.0,25.0,#None,Uniprot-TrEMBL,Q9NS23,POINT (813.2447415711815 385.5201215714594)
33,CaM,aba49,,110.54439311743204,165.76303753359107,60.0,25.0,#None,Unknown,CaM,POINT (110.54439311743204 165.76303753359107)
34,cMyc,ea8cb,c4394,110.54439311743204,380.6558459260798,60.0,25.0,#None,Uniprot-TrEMBL,P01106,POINT (110.54439311743204 380.6558459260798)
35,CDK2,d159b,c4394,110.54439311743204,405.6558459260798,60.0,25.0,#None,Uniprot-TrEMBL,P24941,POINT (110.54439311743204 405.6558459260798)
36,CDK4,fbb2c,c4394,110.54439311743204,430.6558459260798,60.0,25.0,#None,Uniprot-TrEMBL,P11802,POINT (110.54439311743204 430.6558459260798)
37,FOXM1,b46b1,c4394,110.54439311743204,455.6558459260798,60.0,25.0,#None,Uniprot-TrEMBL,Q08050,POINT (110.54439311743204 455.6558459260798)
38,ERK 2,fae92,cbe79,537.450846880558,260.16012775840795,60.0,25.0,#None,Uniprot-TrEMBL,P28482,POINT (537.450846880558 260.16012775840795)
39,T3,f9233,cfab6,625.8755104909774,81.5431232560936,60.0,25.0,#None,ChEBI,18258,POINT (625.8755104909774 81.5431232560936)
40,AKT2,f690b,bbbf7,318.9116973982101,249.4887166403944,60.0,25.0,#None,Uniprot-TrEMBL,P31751,POINT (318.9116973982101 249.4887166403944)
41,AKT3,ccd32,bbbf7,318.9116973982101,274.4887166403944,60.0,25.0,#None,Uniprot-TrEMBL,Q9Y243,POINT (318.9116973982101 274.4887166403944)
