S|P|O
AP2A2|participates_in|Neurotransmitter receptors and postsynaptic signal transmission
GABRA3|participates_in|Neurotransmitter receptors and postsynaptic signal transmission
PTEN|causes or contributes to condition|collecting duct carcinoma
PIK3CA|causes or contributes to condition|collecting duct carcinoma
PTEN|participates_in|DAP12 interactions
PIK3CB|participates_in|DAP12 interactions
PTEN|participates_in|Downstream signal transduction
PIK3R1|participates_in|Downstream signal transduction
PTEN|participates_in|Signaling by NTRKs
PIK3R2|participates_in|Signaling by NTRKs
PTEN|participates_in|PI3K/AKT activation
PIK3R3|participates_in|PI3K/AKT activation
valproic acid|interacts with|PTEN
valproic acid|interacts with|PIK3CG
PIK3CA|subClassOf|gene
GABRA1|subClassOf|gene
PIK3CA|participates_in|Adaptive Immune System
AP2A1|participates_in|Adaptive Immune System
PIK3CA|participates_in|Signaling by NTRK1 (TRKA)
AP2A2|participates_in|Signaling by NTRK1 (TRKA)
valproic acid|interacts with|PIK3CA
valproic acid|interacts with|GABRA3
PIK3CA|causes or contributes to condition|Schizophrenia
GABRA4|causes or contributes to condition|Schizophrenia
PIK3CB|participates_in|Signaling by NTRKs
AP2A1|participates_in|Signaling by NTRKs
GABRA5|causes or contributes to condition|Schizophrenia
GABRB3|subClassOf|gene
PIK3CA|subClassOf|protein_coding_gene
GABRG1|subClassOf|protein_coding_gene
GABRG2|subClassOf|protein_coding_gene
valproic acid|interacts with|GABRG3
valproic acid|interacts with|GABRD
GABRE|subClassOf|protein_coding_gene
GABRP|subClassOf|protein_coding_gene
valproic acid|interacts with|GABRQ
PIK3CA|participates_in|GAB1 signalosome
PIK3CB|participates_in|GAB1 signalosome
PIK3CA|participates_in|Downstream signaling of activated FGFR2
PIK3R1|participates_in|Downstream signaling of activated FGFR2
PIK3CA|participates_in|Interleukin-2 family signaling
PIK3R2|participates_in|Interleukin-2 family signaling
PIK3CA|participates_in|Interleukin-3, Interleukin-5 and GM-CSF signaling
PIK3R3|participates_in|Interleukin-3, Interleukin-5 and GM-CSF signaling
PIK3CA|participates_in|Hemostasis
PIK3CG|participates_in|Hemostasis
GABRB1|causes or contributes to condition|Schizophrenia
PIK3CB|subClassOf|protein_coding_gene
GABRA1|subClassOf|protein_coding_gene
PIK3CB|participates_in|Metabolism of lipids
AP2A2|participates_in|Metabolism of lipids
PIK3R1|subClassOf|protein_coding_gene
PIK3CB|causes or contributes to condition|Schizophrenia
GABRB1|subClassOf|protein_coding_gene
GABRB3|subClassOf|protein_coding_gene
GABRG3|subClassOf|protein_coding_gene
GABRD|subClassOf|protein_coding_gene
GABRQ (human)|causes or contributes to condition|Schizophrenia
PIK3CB|participates_in|Interleukin-3, Interleukin-5 and GM-CSF signaling
PIK3R1|participates_in|Interleukin-3, Interleukin-5 and GM-CSF signaling
PIK3CB|participates_in|Interleukin-2 family signaling
GABRA3|subClassOf|protein_coding_gene
