S|P|O
SUN|subClassOf|protein_coding_gene
ADCY9|subClassOf|protein_coding_gene
ADCY10|subClassOf|protein_coding_gene
ADCY4|subClassOf|protein_coding_gene
ADCY7|subClassOf|protein_coding_gene
ADCY2|subClassOf|protein_coding_gene
ADCY8|subClassOf|protein_coding_gene
ADCY5|subClassOf|protein_coding_gene
ADCY6|subClassOf|protein_coding_gene
ADCY9|participates_in|Signaling by EGFR
ADCY2|participates_in|Signaling by EGFR
ADCY9|participates_in|DAP12 signaling
ADCY4|participates_in|DAP12 signaling
ADCY5|participates_in|Signaling by EGFR
ADCY9|participates_in|PKA activation
ADCY6|participates_in|PKA activation
ADCY9|participates_in|Innate Immune System
ADCY7|participates_in|Innate Immune System
ADCY9|participates_in|G alpha (s) signalling events
ADCY8|participates_in|G alpha (s) signalling events
ADCY9|participates_in|Hedgehog 'off' state
ADCY10|participates_in|Hedgehog 'off' state
ADCY4|participates_in|Hedgehog 'off' state
ADCY4|participates_in|PKA activation
ADCY2|participates_in|PKA activation
ADCY4|participates_in|Integration of energy metabolism
ADCY5|participates_in|Integration of energy metabolism
ADCY4|participates_in|Neuronal System
ADCY6|participates_in|Neuronal System
ADCY7|participates_in|Integration of energy metabolism
ADCY4|participates_in|PLC beta mediated events
ADCY8|participates_in|PLC beta mediated events
ADCY2|participates_in|Innate Immune System
ADCY7|participates_in|GABA receptor activation
ADCY5|participates_in|GABA receptor activation
ADCY7|participates_in|G-protein mediated events
ADCY6|participates_in|G-protein mediated events
ADCY7|participates_in|Adenylate cyclase activating pathway
ADCY8|participates_in|Adenylate cyclase activating pathway
ADCY2|participates_in|Signaling by PDGF
ADCY5|participates_in|Signaling by PDGF
ADCY2|participates_in|Integration of energy metabolism
ADCY6|participates_in|Integration of energy metabolism
ADCY2|participates_in|Signaling by NTRK1 (TRKA)
ADCY8|participates_in|Signaling by NTRK1 (TRKA)
ADCY8|participates_in|Neurotransmitter receptors and postsynaptic signal transmission
ADCY5|participates_in|Neurotransmitter receptors and postsynaptic signal transmission
ADCY8|participates_in|Signaling by GPCR
ADCY6|participates_in|Signaling by GPCR
ADCY5|participates_in|Activation of GABAB receptors
ADCY6|participates_in|Activation of GABAB receptors
TAZ|subClassOf|protein_coding_gene
YY1AP1|subClassOf|protein_coding_gene
MAP2K2|participates_in|Signal Transduction
Smad3|participates_in|Signal Transduction
MAP2K2|participates_in|Disease
SMAD2 (human)|participates_in|Disease
MAP2K2|participates_in|Signal transduction by L1
MAPK1|participates_in|Signal transduction by L1
ADCY10|participates_in|Signaling by Hedgehog
ADCY8|participates_in|Signaling by Hedgehog
Smad3|participates_in|Signaling by TGF-beta Receptor Complex
SMAD2 (human)|participates_in|Signaling by TGF-beta Receptor Complex
MAP2K2|participates_in|DAP12 signaling
MAP2K1|participates_in|DAP12 signaling
Smad3|participates_in|Signaling by NODAL
SMAD4|participates_in|Signaling by NODAL
