source|target|source_label|target_label|source_id|target_id
HSD17B1|Estradiol-17beta|HSD17B1|Estradiol-17beta|http://www.ncbi.nlm.nih.gov/gene/3292|http://purl.obolibrary.org/obo/CHEBI_16469
SLCO1B3|SLCO1B3|SLCO1B3|SLCO1B3|http://www.ncbi.nlm.nih.gov/gene/28234|http://www.ncbi.nlm.nih.gov/gene/28234
SLCO1B3|estrone sulphate|SLCO1B3|estrone sulphate|http://www.ncbi.nlm.nih.gov/gene/28234|http://purl.obolibrary.org/obo/CHEBI_17474
SLCO1B3|DHEA-S|SLCO1B3|DHEA-S|http://www.ncbi.nlm.nih.gov/gene/28234|http://purl.obolibrary.org/obo/CHEBI_16814
SLCO1B3|SLCO1A2|SLCO1B3|SLCO1A2|http://www.ncbi.nlm.nih.gov/gene/28234|http://www.ncbi.nlm.nih.gov/gene/6579
SLCO1B3|SLCO2B1|SLCO1B3|SLCO2B1|http://www.ncbi.nlm.nih.gov/gene/28234|http://www.ncbi.nlm.nih.gov/gene/11309
SLCO1B3|SLCO4A1|SLCO1B3|SLCO4A1|http://www.ncbi.nlm.nih.gov/gene/28234|http://www.ncbi.nlm.nih.gov/gene/28231
SLCO1B3|SLCO4C1|SLCO1B3|SLCO4C1|http://www.ncbi.nlm.nih.gov/gene/28234|http://www.ncbi.nlm.nih.gov/gene/353189
SLCO4A1|estrone sulphate|SLCO4A1|estrone sulphate|http://www.ncbi.nlm.nih.gov/gene/28231|http://purl.obolibrary.org/obo/CHEBI_17474
SLCO2B1|SLCO2B1|SLCO2B1|SLCO2B1|http://www.ncbi.nlm.nih.gov/gene/11309|http://www.ncbi.nlm.nih.gov/gene/11309
SLCO4A1|SLCO2B1|SLCO4A1|SLCO2B1|http://www.ncbi.nlm.nih.gov/gene/28231|http://www.ncbi.nlm.nih.gov/gene/11309
SLCO4A1|SLCO4C1|SLCO4A1|SLCO4C1|http://www.ncbi.nlm.nih.gov/gene/28231|http://www.ncbi.nlm.nih.gov/gene/353189
SLCO4A1|SLCO1A2|SLCO4A1|SLCO1A2|http://www.ncbi.nlm.nih.gov/gene/28231|http://www.ncbi.nlm.nih.gov/gene/6579
SLCO2B1|estrone sulphate|SLCO2B1|estrone sulphate|http://www.ncbi.nlm.nih.gov/gene/11309|http://purl.obolibrary.org/obo/CHEBI_17474
SLCO2B1|DHEA-S|SLCO2B1|DHEA-S|http://www.ncbi.nlm.nih.gov/gene/11309|http://purl.obolibrary.org/obo/CHEBI_16814
