S|P|O|S_ID|P_ID|O_ID
KIF5B|subClassOf|protein_coding_gene|http://www.ncbi.nlm.nih.gov/gene/3799|http://www.w3.org/2000/01/rdf-schema#subClassOf|http://purl.obolibrary.org/obo/SO_0001217
SYNE4|subClassOf|protein_coding_gene|http://www.ncbi.nlm.nih.gov/gene/163183|http://www.w3.org/2000/01/rdf-schema#subClassOf|http://purl.obolibrary.org/obo/SO_0001217
TGFB3|subClassOf|protein_coding_gene|http://www.ncbi.nlm.nih.gov/gene/7043|http://www.w3.org/2000/01/rdf-schema#subClassOf|http://purl.obolibrary.org/obo/SO_0001217
SMAD2 (human)|subClassOf|protein_coding_gene|http://www.ncbi.nlm.nih.gov/gene/4087|http://www.w3.org/2000/01/rdf-schema#subClassOf|http://purl.obolibrary.org/obo/SO_0001217
TGFB3|causes or contributes to condition|Emphysema|http://www.ncbi.nlm.nih.gov/gene/7043|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002097
Smad3|causes or contributes to condition|Emphysema|http://www.ncbi.nlm.nih.gov/gene/4088|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0002097
TGFB2|participates_in|Elastic fibre formation|http://www.ncbi.nlm.nih.gov/gene/7042|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1566948
TGFB3|participates_in|Elastic fibre formation|http://www.ncbi.nlm.nih.gov/gene/7043|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1566948
TGFB2|causes or contributes to condition|Loeys-Dietz syndrome|http://www.ncbi.nlm.nih.gov/gene/7042|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0018954
SMAD2 (human)|causes or contributes to condition|Loeys-Dietz syndrome|http://www.ncbi.nlm.nih.gov/gene/4087|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0018954
Smad3|causes or contributes to condition|Loeys-Dietz syndrome|http://www.ncbi.nlm.nih.gov/gene/4088|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/MONDO_0018954
TGFB1|participates_in|Platelet activation, signaling and aggregation|http://www.ncbi.nlm.nih.gov/gene/7040|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-76002
TGFB3|participates_in|Platelet activation, signaling and aggregation|http://www.ncbi.nlm.nih.gov/gene/7043|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-76002
TGFB1|participates_in|ECM proteoglycans|http://www.ncbi.nlm.nih.gov/gene/7040|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-3000178
TGFB2|participates_in|ECM proteoglycans|http://www.ncbi.nlm.nih.gov/gene/7042|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-3000178
TGFB1|participates_in|Signaling by TGF-beta Receptor Complex in Cancer|http://www.ncbi.nlm.nih.gov/gene/7040|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-3304351
