S|P|O
aflatoxin B1|interacts with|CDH11
aflatoxin B1|interacts with|TIAM1
valproic acid|interacts with|CDH11
valproic acid|interacts with|TRIO
TIAM1|participates_in|NRAGE signals death through JNK
TRIO (human)|participates_in|NRAGE signals death through JNK
JUN|causes or contributes to condition|Neoplasm of the stomach
TWIST1|causes or contributes to condition|Neoplasm of the stomach
EPHB2|subClassOf|protein_coding_gene
SORT1|subClassOf|protein_coding_gene
EPHB6|subClassOf|protein_coding_gene
EPHB3|subClassOf|protein_coding_gene
valproic acid|interacts with|BDNF (human)
valproic acid|interacts with|SORT1
EPHB1|participates_in|Developmental Biology
AKT2|participates_in|Developmental Biology
AKT1|participates_in|Developmental Biology
valproic acid|interacts with|EPHB1 (human)
FOS|participates_in|Activation of the AP-1 family of transcription factors
JUN|participates_in|Activation of the AP-1 family of transcription factors
valproic acid|interacts with|FOS
PIK3R5|participates_in|G beta:gamma signalling through PI3Kgamma
PIK3CG|participates_in|G beta:gamma signalling through PI3Kgamma
PIK3CD|participates_in|G beta:gamma signalling through PI3Kgamma
PIK3R6|participates_in|G beta:gamma signalling through PI3Kgamma
PIK3R3|participates_in|CD28 dependent PI3K/Akt signaling
AKT3|participates_in|CD28 dependent PI3K/Akt signaling
AKT1|participates_in|CD28 dependent PI3K/Akt signaling
PIK3R3|participates_in|G beta:gamma signalling through PI3Kgamma
AKT2|participates_in|G beta:gamma signalling through PI3Kgamma
AKT3|participates_in|G beta:gamma signalling through PI3Kgamma
AKT1|participates_in|G beta:gamma signalling through PI3Kgamma
AKT2|participates_in|CD28 dependent PI3K/Akt signaling
FOS|participates_in|Interleukin-4 and Interleukin-13 signaling
TWIST1|participates_in|Interleukin-4 and Interleukin-13 signaling
JUN|subClassOf|protein_coding_gene
CDH11|subClassOf|protein_coding_gene
AKT3|participates_in|Developmental Biology
EPHB6|participates_in|Developmental Biology
EPHB6|participates_in|EPH-ephrin mediated repulsion of cells
MMP2|participates_in|EPH-ephrin mediated repulsion of cells
MMP9 (human)|participates_in|EPH-ephrin mediated repulsion of cells
EPHB2|subClassOf|gene
TWIST1|subClassOf|gene
EPHB2|participates_in|EPH-ephrin mediated repulsion of cells
TWIST1|subClassOf|protein_coding_gene
EPHB3|participates_in|EPH-ephrin mediated repulsion of cells
aflatoxin B1|interacts with|EPHB6
aflatoxin B1|interacts with|TWIST1
