source|target|source_label|target_label|source_id|target_id
Ca 2+|Ca 2+|Ca 2+|Ca 2+|http://purl.obolibrary.org/obo/CHEBI_29108|http://purl.obolibrary.org/obo/CHEBI_29108
Ca 2+|CAMK2B|Ca 2+|CAMK2B|http://purl.obolibrary.org/obo/CHEBI_29108|http://www.ncbi.nlm.nih.gov/gene/816
MTOR|RPTOR|MTOR|RPTOR|http://www.ncbi.nlm.nih.gov/gene/2475|http://www.ncbi.nlm.nih.gov/gene/57521
rapamycin|MTOR|rapamycin|MTOR|http://purl.obolibrary.org/obo/CHEBI_9168|http://www.ncbi.nlm.nih.gov/gene/2475
NTRK2|HRAS|NTRK2|HRAS|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/3265
NTRK2|KRAS|NTRK2|KRAS|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/3845
GRIN3B|GRIN3B|GRIN3B|GRIN3B|http://www.ncbi.nlm.nih.gov/gene/116444|http://www.ncbi.nlm.nih.gov/gene/116444
NTRK2|NRAS|NTRK2|NRAS|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/4893
NTRK2|PIK3CA|NTRK2|PIK3CA|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/5290
NTRK2|PIK3CB|NTRK2|PIK3CB|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/5291
NTRK2|PIK3R2|NTRK2|PIK3R2|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/5296
MAPK3|TSC1|MAPK3|TSC1|http://www.ncbi.nlm.nih.gov/gene/5595|http://www.ncbi.nlm.nih.gov/gene/7248
MTOR|RPS6KB1|MTOR|RPS6KB1|http://www.ncbi.nlm.nih.gov/gene/2475|http://www.ncbi.nlm.nih.gov/gene/6198
AKT2|AKT3|AKT2|AKT3|http://www.ncbi.nlm.nih.gov/gene/208|http://www.ncbi.nlm.nih.gov/gene/10000
HRAS|MAPK1|HRAS|MAPK1|http://www.ncbi.nlm.nih.gov/gene/3265|http://www.ncbi.nlm.nih.gov/gene/5594
HRAS|NRAS|HRAS|NRAS|http://www.ncbi.nlm.nih.gov/gene/3265|http://www.ncbi.nlm.nih.gov/gene/4893
