S|P|O
IFNAR1|participates_in|Regulation of IFNA signaling
IFNAR2|participates_in|Regulation of IFNA signaling
JAK1 (human)|participates_in|Regulation of IFNA signaling
TYK2 (human)|participates_in|Regulation of IFNA signaling
IFNGR2|participates_in|Regulation of IFNG signaling
JAK1 (human)|participates_in|Regulation of IFNG signaling
JAK2|participates_in|Regulation of IFNG signaling
IFNGR2|participates_in|Interferon Signaling
TYK2 (human)|participates_in|Interferon Signaling
IL10RA|participates_in|Interleukin-10 signaling
JAK1 (human)|participates_in|Interleukin-10 signaling
IL10RA|causes or contributes to condition|Ulcerative colitis
JAK2|causes or contributes to condition|Ulcerative colitis
TYK2 (human)|participates_in|Interleukin-10 signaling
IL10RB|participates_in|Interleukin-10 signaling
IL10RB|causes or contributes to condition|Ulcerative colitis
IL10RB|participates_in|Signaling by Interleukins
IFNLR1|participates_in|Signaling by Interleukins
IL10RB|participates_in|Interleukin-20 family signaling
IL22RA1|participates_in|Interleukin-20 family signaling
IL20RA|participates_in|Signaling by Interleukins
JAK1 (human)|participates_in|Signaling by Interleukins
IL20RA|causes or contributes to condition|Spontaneous abortion
JAK2|causes or contributes to condition|Spontaneous abortion
TYK2 (human)|participates_in|Signaling by Interleukins
IL22RA1|participates_in|Signaling by Interleukins
JAK2|participates_in|Signaling by Interleukins
IL21R|causes or contributes to condition|Severe combined immunodeficiency
JAK3|causes or contributes to condition|Severe combined immunodeficiency
IL6ST|participates_in|IL-6-type cytokine receptor ligand interactions
IL11RA (human)|participates_in|IL-6-type cytokine receptor ligand interactions
CSF3R|participates_in|Signaling by Interleukins
IL2RA|participates_in|G beta:gamma signalling through PI3Kgamma
JAK3|participates_in|G beta:gamma signalling through PI3Kgamma
JAK1 (human)|participates_in|G beta:gamma signalling through PI3Kgamma
IL9R|participates_in|Signaling by Interleukins
JAK3|participates_in|Signaling by Interleukins
valproic acid|interacts with|IL21R
valproic acid|interacts with|JAK1
IL15RA|participates_in|Signaling by Interleukins
IL6ST|participates_in|MAPK1 (ERK2) activation
TYK2 (human)|participates_in|MAPK1 (ERK2) activation
IL7R|participates_in|Interleukin-7 signaling
IL2RG|participates_in|Interleukin-7 signaling
CTF1 (human)|participates_in|IL-6-type cytokine receptor ligand interactions
JAK3|participates_in|Interleukin-7 signaling
JAK1 (human)|participates_in|Interleukin-7 signaling
IL2RG|subClassOf|gene
IL21R|subClassOf|gene
IL2RG|participates_in|Signaling by Interleukins
IL2RG|participates_in|G beta:gamma signalling through PI3Kgamma
IL6R (human)|participates_in|MAPK1 (ERK2) activation
OSMR|participates_in|IL-6-type cytokine receptor ligand interactions
CNTFR (human)|participates_in|IL-6-type cytokine receptor ligand interactions
LIFR (human)|participates_in|IL-6-type cytokine receptor ligand interactions
JAK2|participates_in|MAPK1 (ERK2) activation
JAK1 (human)|participates_in|MAPK1 (ERK2) activation
IL5RA|participates_in|G beta:gamma signalling through PI3Kgamma
JAK2|participates_in|G beta:gamma signalling through PI3Kgamma
CSF2RA|participates_in|G beta:gamma signalling through PI3Kgamma
IL3RA|participates_in|G beta:gamma signalling through PI3Kgamma
IL20RA|participates_in|Interleukin-20 family signaling
IL2RA|participates_in|Signaling by Interleukins
EGFR|participates_in|SOS-mediated signalling
JAK1 (human)|participates_in|SOS-mediated signalling
IFNLR1|causes or contributes to condition|Palmoplantar pustulosis
TYK2 (human)|causes or contributes to condition|Palmoplantar pustulosis
EGFR|causes or contributes to condition|Cervix cancer
JAK2|causes or contributes to condition|Cervix cancer
EGFR|causes or contributes to condition|autosomal recessive polycystic kidney disease
