S|P|O|S_ID|P_ID|O_ID
CYP19A1|has gene product|aromatase (human)|http://www.ncbi.nlm.nih.gov/gene/1588|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P11511
aromatase (human)|molecularly interacts with|Estradiol-17beta|http://purl.obolibrary.org/obo/PR_P11511|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_16469
HSD17B1|has gene product|17-beta-hydroxysteroid dehydrogenase type 1 (human)|http://www.ncbi.nlm.nih.gov/gene/3292|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P14061
17-beta-hydroxysteroid dehydrogenase type 1 (human)|molecularly interacts with|Estradiol-17beta|http://purl.obolibrary.org/obo/PR_P14061|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_16469
17-beta-hydroxysteroid dehydrogenase type 1 (human)|molecularly interacts with|NADH dianion|http://purl.obolibrary.org/obo/PR_P14061|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_57945
17-beta-hydroxysteroid dehydrogenase type 1 (human)|molecularly interacts with|NAD anion|http://purl.obolibrary.org/obo/PR_P14061|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_57540
STS|participates_in|Metabolism|http://www.ncbi.nlm.nih.gov/gene/412|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1430728
estrone|participates_in|Metabolism|http://purl.obolibrary.org/obo/CHEBI_17263|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-1430728
STS|has gene product|steryl-sulfatase (human)|http://www.ncbi.nlm.nih.gov/gene/412|http://purl.obolibrary.org/obo/RO_0002205|http://purl.obolibrary.org/obo/PR_P08842
steryl-sulfatase (human)|molecularly interacts with|DHEA|http://purl.obolibrary.org/obo/PR_P08842|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_28689
STS|causes or contributes to condition|Hepatic steatosis|http://www.ncbi.nlm.nih.gov/gene/412|http://purl.obolibrary.org/obo/RO_0003302|http://purl.obolibrary.org/obo/HP_0001397
Estradiol-17beta|is substance that treats|Hepatic steatosis|http://purl.obolibrary.org/obo/CHEBI_16469|http://purl.obolibrary.org/obo/RO_0002606|http://purl.obolibrary.org/obo/HP_0001397
testosterone|interacts with|cytochrome P450 3A5 (human)|http://purl.obolibrary.org/obo/CHEBI_17347|http://purl.obolibrary.org/obo/RO_0002434|http://purl.obolibrary.org/obo/PR_P20815
cytochrome P450 3A5 (human)|molecularly interacts with|Estradiol-17beta|http://purl.obolibrary.org/obo/PR_P20815|http://purl.obolibrary.org/obo/RO_0002436|http://purl.obolibrary.org/obo/CHEBI_16469
estradiol 3-sulphate|has functional parent|Estradiol-17beta|http://purl.obolibrary.org/obo/CHEBI_4866|http://purl.obolibrary.org/obo/chebi#has_functional_parent|http://purl.obolibrary.org/obo/CHEBI_16469
Estradiol-17beta|interacts with|estrogen receptor beta (human)|http://purl.obolibrary.org/obo/CHEBI_16469|http://purl.obolibrary.org/obo/RO_0002434|http://purl.obolibrary.org/obo/PR_Q92731
estrogen receptor beta (human)|has_gene_template|ESR2|http://purl.obolibrary.org/obo/PR_Q92731|http://purl.obolibrary.org/obo/pr#has_gene_template|http://www.ncbi.nlm.nih.gov/gene/2100
